geneID	Ctrl-Sal rep1	Ctrl-Sal rep2	Ctrl-Sal rep3	CUMS-Sal rep1	CUMS-Sal rep2	CUMS-Sal rep3	CUMS-Flx rep1	CUMS-Flx rep2	CUMS-Flx rep3	CUMS-Alb rep1	CUMS-Alb rep2	CUMS-Alb rep3
ENSRNOG00000053498	0.092896971	0.087484039	0	0.087430919	0.044495893	0.222392011	0.159289847	0.122771684	0.188977622	0.044378195	0.040017421	0.119199627
Novel00984	0.652511895	0.204830418	0.993588343	0.71647116	0.312540862	0.624836015	0.37295267	0.28745101	0.353969622	0.519523581	0.281083907	0.744233571
ENSRNOG00000009746	6.489247215	7.372943446	6.480827099	7.071749849	7.109911354	7.346116957	7.669570234	6.782196812	6.958524767	6.400820143	6.29244902	6.663526829
ENSRNOG00000007219	0	0.029022294	0	0.058009343	0	0	0.05284343	0.027152502	0.050153734	0.058888776	0.053102137	0
ENSRNOG00000013480	7.881619207	8.916182801	8.876539712	8.67750273	7.811466852	8.283070854	8.648470018	8.036029994	8.43011363	8.430171387	7.580436694	8.586683167
ENSRNOG00000005415	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000027511	4.48037153	4.219308702	4.39290846	5.245221574	5.443545828	3.767127278	4.590741076	4.043755274	5.157354494	5.429146906	3.201007066	3.832623125
ENSRNOG00000001474	1.42698863	1.194525053	1.521025893	1.119187259	0.455667051	1.366463808	1.563264228	1.746197725	1.741729029	2.34805237	1.092812198	1.220682166
Novel00754	1.684830713	2.556283614	2.052410899	2.202354697	1.703671014	1.434106385	1.604982524	2.886404626	1.218631968	1.699164572	1.693482075	1.921662407
ENSRNOG00000038322	0.38822218	0.097493654	0.165522269	0.170510299	0.198347824	0.173486125	0.110947018	0.045606262	0.126359865	0.173095271	0.245278405	0.110698357
ENSRNOG00000047727	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001548	10.88368345	11.60687943	12.33548326	10.5478184	10.17254799	10.84457479	10.28941982	9.22634261	9.023693722	10.42668288	10.82130397	10.89542463
ENSRNOG00000059881	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053294	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000032203	0	0	0	0	0	0	0	0	0	0	0.157165195	0
ENSRNOG00000051588	0	0.136117338	0	0	0.138463257	0	0.061960188	0.063673919	0.176419364	0	0	0.061821319
ENSRNOG00000007117	34.84992101	36.71509562	31.11448815	33.70389242	27.78072565	30.17065329	32.13547598	30.18943614	33.08395382	29.344125	30.24075134	32.99282741
ENSRNOG00000061526	0.612940206	0.357329967	0.453332694	0.714225996	0.559212896	0.642842042	0.500478421	0.848629563	0.688756374	0.836600553	0.729246505	0.649163734
ENSRNOG00000007350	2.341760751	1.970703226	1.911891577	1.781934564	1.431905269	2.290147861	2.306720477	1.009666397	2.18930991	1.951760835	1.545342359	1.363881787
ENSRNOG00000017724	12.45478097	11.75742963	12.97512596	13.93309484	13.6191796	13.88783324	12.84725109	12.61875487	13.01439308	13.10832014	12.37817172	12.7025112
ENSRNOG00000025388	88.04560502	87.50355446	76.62553298	74.34923576	63.67499154	69.31514192	79.065966	80.63959006	81.55460094	71.48644469	74.35606278	65.49255426
ENSRNOG00000025520	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000051214	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058857	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058602	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054801	0.786394704	0.653446731	0.549419812	1.219026595	0.841964202	0.708743782	0.793191772	0.529834718	0.602255063	0.92813047	0.87678252	0.71227262
ENSRNOG00000015736	6.789387836	6.055650215	7.485318931	8.048817215	8.223778399	6.876502175	7.975697787	7.074696147	8.074389303	6.98575546	7.199209169	8.237043998
ENSRNOG00000021357	0	0	0	0	0	0.058176317	0.052086496	0.053527135	0	0	0	0.051969757
ENSRNOG00000053650	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000018081	6.326323879	8.045967164	7.239778355	6.874817931	5.12320705	6.089223634	6.51421607	6.493271065	5.041643248	5.732784184	6.124684606	6.388034622
ENSRNOG00000033088	0.270094476	0.635891446	0.431840187	0.381303201	0.194055222	0.581936826	0.347346964	0.416446439	0.549445384	0.451597811	0.465396638	0.288807057
ENSRNOG00000015873	0.037102918	0.069882001	0	0.034919785	0	0	0.063620138	0.065379781	0.030190957	0.035449176	0.031965802	0
ENSRNOG00000056522	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001214	40.82027192	32.26692901	45.44708448	42.17673242	46.99125079	46.05220733	40.28051399	45.54276492	49.80364155	49.85795904	47.2947922	46.32630953
ENSRNOG00000053874	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000007330	190.4246494	227.5024745	181.8965006	186.321248	180.4835567	180.6276448	206.7702916	181.9810303	175.1959877	183.7822059	185.2631284	179.5292331
ENSRNOG00000029871	1.759022516	2.208703441	2.311956722	1.728132347	2.158081147	2.00947717	2.235680806	1.971242034	1.632220086	2.078661333	1.900991296	2.428658529
ENSRNOG00000021084	12.88162421	10.74543997	13.71679482	9.212858986	13.5769963	13.91670161	11.2757124	8.148345804	10.33528647	14.14354674	12.1328749	11.78984527
ENSRNOG00000020530	0.181447158	0	0	0	0	0	0	0	0	0	0.07816237	0
ENSRNOG00000008587	4.465534354	5.074438847	5.126994306	5.225459697	5.275969447	5.216880472	4.441073599	3.750797476	4.796408725	5.091353881	5.463102172	5.284237924
ENSRNOG00000054083	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001153	0.119474009	0.112512483	0.218309551	0.562220829	0.343354749	0.343219783	0	0.2105275	0.291651027	0.228297686	0.20586427	0.102201089
ENSRNOG00000050898	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000009683	163.9288563	175.2835549	163.0794767	166.4947843	148.5181948	171.4977786	164.2428846	161.2424464	158.7452497	166.1020284	143.6906429	158.9923101
ENSRNOG00000022347	8.273358366	7.884038721	6.433953192	8.620828184	6.840516971	8.299708575	6.966474398	8.113711533	7.934262473	7.575241945	7.891563267	6.69810214
ENSRNOG00000006759	0.998535225	0.940352454	1.162721961	1.16090653	0.806510521	1.049926414	1.326101761	1.207526459	1.178945562	1.103680331	1.231384316	1.23938724
ENSRNOG00000007284	40.34178129	41.71143587	45.0546972	56.62126805	55.54746948	47.79949276	44.71899383	51.79620452	46.93773399	51.78606951	50.73543715	53.32486775
ENSRNOG00000006595	1.966009865	3.128319107	2.973022781	2.93500616	2.954931782	3.602950528	2.789879712	3.016369042	2.675458702	3.56244741	2.803538186	3.3055569
ENSRNOG00000004029	0.409768562	0.469781709	0.244158228	0.25151596	0.4608111	0.34120738	0.397137314	0.298242686	0.710355419	0.391504459	0.353033712	0.548650005
ENSRNOG00000006611	3.810699075	5.401109734	3.833233393	4.166110559	4.424855306	4.386256676	4.158115529	4.171382101	3.727221818	3.052429414	2.454023535	4.47806564
ENSRNOG00000047843	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000020659	23.90271599	18.35802404	24.48404191	28.11018202	27.53544712	25.66205493	26.64449889	24.98223913	26.06208436	26.84315469	26.36531238	25.10579516
ENSRNOG00000016977	10.03837576	7.314666966	9.29583696	7.310225531	6.526957752	7.872766496	8.100112603	8.68432985	9.461934959	9.417355958	8.531103524	9.636180857
Novel00308	0.44547858	0.419521381	0.407001614	0.698777749	0.711252727	1.137557034	0.381929649	0.654155472	0.362489679	0.567497093	0.255866313	0.381073645
ENSRNOG00000048588	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000028679	0	0.064748825	0	0	0	0	0	0.060577315	0.111893133	0	0	0
ENSRNOG00000056853	84.56893861	77.28460491	74.97820231	71.69596121	69.1684791	74.42732159	81.97030457	77.88238823	76.12112885	77.70540115	69.75270916	71.7127971
ENSRNOG00000053527	0	0.219611994	0	0	0.223396905	0	0	0	0	0	0	0.199485287
ENSRNOG00000013917	2.156019171	1.829363077	2.151826682	2.136309458	2.119916457	2.371192728	1.970466512	2.018697584	2.47233139	2.379447415	2.427631249	2.185176519
Novel00628	27.84373802	20.31856899	21.33809941	37.26267616	29.16255024	28.75898751	27.04473772	23.31094941	24.64298886	30.16877894	29.59228408	28.07534357
ENSRNOG00000000701	59.1215323	48.13780831	57.37004898	58.61505056	54.45517142	64.27966692	50.6876583	58.8839039	54.98021663	57.67926216	58.52872689	52.5216263
ENSRNOG00000037134	1.633898164	1.538693989	2.288921331	1.674449452	1.460865151	2.57289351	1.463075963	1.05567883	1.506785615	2.185501445	1.470238776	1.056023237
ENSRNOG00000045804	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001335	7.939137394	11.00090175	8.439261292	9.039693683	9.57409201	8.783158723	9.087823423	8.653035956	9.487785052	8.122652644	8.964578481	9.826160679
ENSRNOG00000053136	0.191158414	0.270029959	0.349295282	0.269865998	0.732490132	0.366101102	0.245833591	0	0.155547214	0.182638149	0	0.65408697
ENSRNOG00000058822	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000028993	6.677109672	5.133099626	15.06423579	4.616984546	3.916174651	5.741465069	5.724598811	2.761376773	4.102635861	2.864264946	4.226418259	4.429534749
ENSRNOG00000016143	21.0929637	14.34739759	22.18444488	28.47729713	28.37475044	29.60761425	21.14185994	28.86476388	29.92564896	32.5423929	27.35035443	27.17631185
ENSRNOG00000000574	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000057622	2.21657307	2.695291857	2.180901448	2.613418747	2.030057226	2.344144303	2.65216737	2.006585515	2.160408993	2.327226951	2.371355399	2.06280389
ENSRNOG00000027954	0.835064083	0.994572886	1.077088601	0.993968986	0.964657426	0.84668333	1.158137498	0.887217595	1.47890891	0.821309808	1.036846608	1.386650172
ENSRNOG00000062069	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055147	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000017869	2.307234489	1.164798001	1.695055444	1.925226994	1.731737098	1.936049902	2.202420813	1.928027526	1.85806136	2.181671263	1.721380308	2.197484614
ENSRNOG00000039591	0.172455494	0	0.078780067	0.324616448	0	0.082570452	0	0.075971804	0.140328491	0.164768851	0	0.073761396
Novel01056	0.370152202	0.542241979	0.300605637	0.774161045	0.315192723	0.59075405	0.564175675	0.652252474	0.870121689	0.628717991	0.956707406	0.457365358
ENSRNOG00000053360	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000042414	8.756288654	5.048618065	8.938762907	11.47863209	13.6094159	14.93024885	9.613781921	11.33605353	13.92296049	15.75028592	11.81625671	10.20369213
ENSRNOG00000052055	0.131259646	0.061805697	0.059961231	0	0.125741778	0.125692351	0.056267521	0.057823801	0	0	0.056542991	0.168424232
ENSRNOG00000032398	17.49974758	18.14212272	19.96260922	18.50542652	19.14536021	19.42347383	18.7541914	19.404312	18.91209124	18.69097408	18.28919286	17.43632938
ENSRNOG00000004520	4.534928339	4.328139771	3.808804938	5.263343935	4.811836771	5.686251154	3.765961391	4.748067031	5.063558251	5.129411842	4.660416658	5.131799362
ENSRNOG00000058546	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000005618	3.403220721	2.104724532	2.505984491	2.533696983	2.62758904	2.8211159	3.527417616	2.640418261	3.223879014	3.154472519	2.49440928	2.73739803
