XFTU	SFTU	SFRC	SFNC	SFRN
Ercc1	E130311K13Rik	Nub1		
Slx1b	Nbeal1	Jsrp1	Msl1	Mmaa
Pde6b	Jsrp1	Rasgrp4	Sart1	Snrk
Rxrg	Zfp414	Prps1l3	Aff3	Papd4
Ccs	Slc22a1	Pgs1	5730494M16Rik	
Taf10	Rps9	Kpna6	Egfl8	Kif5b
Trappc6b	Gnai3	Gtpbp3	Dio1	Cdh11
Rps24-ps2	Cyp17a1	Cym	Gm1604b	Cldnd1
H2afz	Rasgrp2	1110007C09Rik	C130039O16Rik	Klk1b21
Dmwd	Trank1	Elovl1	Rab3gap2	Ctla4
Ckmt1	Zfp771	Msi1	Gtpbp3	Sirpa
Syt6		Trim21	Szt2	Lpar6
Snf8		Grcc10	Cd244	Cwc22
			Zcrb1	Mrps33
Ndufa7	Sprr1a	Alox5ap	Ppp2r4	Klhl17
Arl4c	Kcnd3		Etfb	Copb2
Cd244	Lage3	Sart1	Gamt	Nucb1
Gm5316		Stard3	Rps9	Amdhd2
Mtvr2	Ncoa5	Zglp1	Ciz1	Hipk3
Chst15	1700009P17Rik	Zfp874a	Sun5	Defb8
Dab1	1810046J19Rik	Gnai3	Klc1	Tomm7
1810006K21Rik	Barhl1	Inpp5k	Barhl1	
Gnai3	Tbpl1	Plcb2		Mtrf1l
Triap1	Pbx1		Tceb1	Abca6
AI837181	Zfp874a	Rxrg	Apoa2	BC024814
Eif2s1	Sim2	Lsmd1	Lig1	Nr3c1
Il17d	Sec62	Snrpd2		Adck5
Lage3	Mc3r		Eif4g2	Mia1
Lrrn3	Upf3a	Dab1	Zfp874a	Ell
	Myl3	Inpp5a	Ostf1	Gm13178
Suv39h2	Tollip	Zfp467	Mvk	Cib1
Igf1	Cetn2	Efs	Pdlim1	Nr1h2
Plcl2		Prpf6	Jsrp1	Slc25a34
Rspry1	Shfm1	Dnajc17	Lrp5	Mapkapk5
1190002H23Rik	Ppp2r4	Anp32a	2410001C21Rik	
Cym	Th		Uts2r	Preb
Rhoh	Mvk	Tnip2	Eif1b	Narfl
March9	Zfp956	Slc10a1	Ssbp2	Foxn3
Doc2a	Plcb2	Ruvbl2	Setd8	Sipa1l2
C130074G19Rik	Gm13178	Eif1b	Tnni3k	Mrpl27
F9	Terf2	Gna13	Nbeal1	
Terf2	Acad10	Ccdc86	Inpp5a	Tfpi
Mocs2		Th	Rpl26-ps2	Pisd
H2afy2	Gm5316	Egfl8	Nos1ap	Ufc1
4930453N24Rik		BC030867		
Rnf167	Rpl21-ps1		Lyz1	Scmh1
Ppp2r4		March9	Igf1	Rgs2
Snrpd2	Adam11		Gm10653	Dock8
Hibadh	Gm9992	Drp2	Rps29	Rnf43
Arhgap27	Nufip1	Med28	AW551984	Cox4i1
Fgfr2	Alkbh7		Cdc27	Sik3
Nbeal1	Tcfap2d	Csf1	1810046J19Rik	Synj1
Jsrp1	Abpe	Uts2r	Trappc10	C130026I21Rik
	Slc9a3r2	Ptprh	Dab1	1700061I17Rik
Cox4i2	AI837181		1110004F10Rik	A830007P12Rik
Sap130	Ap3s2	Ctrb1	2310003C23Rik	Kdm4a
Ptchd1	Zfp579		Serpinb8	Steap3
Heyl	Gm749		Cpne5	Fnta
U46068	March9	Lig1		Prpf31
Cd300c	Tgif2	Rc3h1	Slc4a2	Chd7
Zglp1	Atp6v0e	Terf2		St3gal4
Rdh12	Ralb	Plscr3		Qrsl1
Nkain1	Cdhr2	Nfx1		Actg1
Sirt2	Tssk4	Ergic3	Tox4	Eif2s1
Apoa2	Clec18a	Traf7	Mlana	Gna11
	Urm1	Chad	Capza2	Usp22
Amotl2		Lsm6	Terf2	Ctnnb1
Dr1	Gm6813	Aph1a	Cetn2	Sgms2
Sim2	Elavl1	Tial1	1810037I17Rik	Pafah1b1
Gm9104	Pgs1	Papd4	Lpcat3	AI467606
Ap2s1	Trappc6b	Trim59	Gfra4	Nckap1l
	Cyp4a12b	Chfr		Wnt3a
Plekho1	Slc25a17	Cldn9	Noc4l	Jkamp
Zcrb1	Prkd2	Doc2a	Ckmt1	Slc25a31
Trank1	Mrps14	Chmp2a	Ilf2	Trim23
Arpc5	2410001C21Rik	Dkkl1	4930453N24Rik	Nos2
Pemt	Pla2g12a	Barhl1		Tmem131
Tmprss3	Myl12b	Cyp17a1	Otos	Zfp263
Ppp6r1	Gdf3		Tial1	Degs2
Gm7935	Sctr	Pdlim1	Brpf1	Plekhg5
	BC003266	Ncoa5	Rpl27	Pgm5
Chrna2	Rdh12	Hook3	Stfa3	Stom
Txnl4a			LOC16697	Atrn
Gls	Dph3b-ps	Mrps31		Trim41
Sec62	Rpl26-ps2	Tmem87a	Sepw1	Rab11a
Wdr63	Aldh3a1	Tollip	1810006K21Rik	Gm1604b
Uqcrb	Eif3j	Snf8	Rnf138	1300018I17Rik
Rrbp1	Cstb	Baiap2	Dyrk1a	Cdca8
Nrbf2	Eif4g1	C330007P06Rik	Hnrnpu	Sdha
Cdhr2	Lctl			Nfx1
Pnpla6	Tubb2c	Cyb5	Cyp2t4	Tor1b
Szt2	Tdp1	Pdia3		Il21
Stx2	1110007C09Rik	Tgif2	Hdgf	Fezf1
Snca	Rpl27	Rpl27	Adam11	Ube2e1
Sfrs18	Dio1	Adam11	Rpl21-ps1	Hhex
	Znhit1	Msl1	Ccne1	
Pgs1	Zranb2	Triap1	Tnip2	
Aig1	Phf5a	Spaca4		Rnf25
Guk1	Atp7a	Gjb1	Isca1	Morc4
Gdf3	Ppt2	Cpne5	Cox6b2	Mrpl12
Ltc4s	1700029G01Rik	Rnf138	Slc25a17	Vav1
Gapdh	Nt5m	Cox5a	Sfxn1	Tex10
Cyp21a1		Sprr1a	Lamp2	Ccdc109a
Ap4b1	Brpf1	Brcc3	Ap3s2	Pgk2
Otof	Hnrnpu	Fhl3	Lgmn	Gabrg1
Mpg	Yipf3	3110062M04Rik	Clec18a	Lrrtm1
Bloc1s1	Fcf1	Acad10		Ppp1r14c
	Ubxn6	Ambp	Snrpa1	Phyhipl
Scn8a	Dmwd	Gfra4	Cyp17a1	Rgs19
Crebbp		Pacsin1	Arpc5	Bclaf1
	Pcnp	Slc28a1	Hbs1l	Fxc1
Cpne2	H2afy2	1810046J19Rik	1600027N09Rik	Pygm
Th		Hemk1	Ncoa5	Xylt1
Nr5a1	Lrp5	Srgap2	March9	Gpihbp1
Tcfap2d	H19	Mthfr	Znhit1	Plin3
Dnajc8	Anp32a	Ckmt1	Th	Nr1h4
Hvcn1	Btbd6	Alkbh7	Becn1	Evi2a
Ndufa3	1810037I17Rik	Zfp771	C330007P06Rik	Wisp1
