IN.Sh.Gh	IN.Norm.Sh	IN.Anx.Sh	IN.Norm.Anx	IN.Flx.Sh
Grin2b	6330403K07Rik	Pcdh7	Iqsec3	Scai
Fmn1	Serpini1	Gmfb	Fam13b	Herc3
Slc2a13	Sh3glb1	Cacna2d1	Zdbf2	Nudt4
Rere	Stxbp6	Slc25a46	2510009E07Rik	Arhgap20
Gria4	Ldha	Smarcc2	Ina	B4galt6
Brd2	Nrn1	Atp8a1	Tsc22d2	Pfn2
Sec62	Appl1	Pabpc1	Cdk11b	B230219D22Rik
Dynll2	Ppp4r2	Dazap2	Kif3c	Sdf4
Epha4	Pgk1	Rap2a	Glrx2	Slc35f1
Nus1	Klc1	Stmn2	Socs5	Pkm
Fam78b	Necap1	Tax1bp1	Nlgn1	Rbfox2
Camta2	Dtna	Herc3	Pcf11	Atp2b4
Max	Rrp1	Nudt4	Ap1s2	Nptx1
Eny2	Wdr7	Arhgap20	Myrip	Tacc1
Ssr1	Cux1	B4galt6	Kpna4	Luzp1
Tmtc1	Adam23	B230219D22Rik	Nudt3	Tspyl1
Kdm7a	Dlg1	Rcan2	Clstn2	Snca
Neto2	Rpl31	Pkm	Atp11b	Map2k1
Kcnip4	Dnaja2	Dip2b	Hspa9	Rian
Tmem167	Camk2d	Thy1	Twf1	Cck
Rgs7	Arid4b	Rbfox2	Epas1	Jph4
Aldoc	Syt4	Atp2b4	Pdk2	Kmt2a
Tmem263	Hnrnpa0	Nptx1	Igsf11	Cyld
Wbp2	Anp32a	Ncam1	Gsg1l	Add2
Rasgrf2	Dynll1	Tnks2	Ncs1	Rabep1
Prex2	Bend6	Tacc1	Cry2	Zmiz1
Tbr1	Add1	Luzp1	Gpr88	Man1a2
Mff	Klhl2	Snca	Pde7b	Slc12a5
Rev3l	Cnr1	Map2k1	Rap2b	Slc17a7
Rnf169	Arrb1	Cck	Pde4a	Cs
Cttnbp2	Baalc	Jph4	Vkorc1l1	Lingo1
Dzip3	Mbp	Kmt2a	Dgkg	Ap2b1
Rps6	Sestd1	Cyld	Htt	Pi4ka
Inpp4a	Kif2a	Add2	Kcnj6	Hspd1
Birc6	Trp53inp2	Rabep1	Kctd1	Ddah1
Cacna1b	Rapgef2	Zmiz1	Tet1	Homer2
Zfp445	Capns1	Man1a2	Pptc7	Tubb2a
Rpl21	Itfg1	Slc12a5	Cdkl2	Nova1
Gstm1	Bnip3l	Slc17a7	Ide	Raph1
Sec22b	Ptprt	Cs	Syt13	Peg13
C1ql3	Tspan2	Lingo1	Prdx6	6330403K07Rik
Rhob	Crebrf	Ap2b1	Stac2	Serpini1
Snap47	Syt7	Pi4ka	Msl2	D430041D05Rik
Disp2	Klf9	Ddah1	Snx5	Sh3glb1
Nrep	Ahcyl2	Homer2	Pde8b	Ccdc82
Tm9sf3	Ap2m1	Tubb2a	Rnf170	Stxbp6
Eif1	Cep170b	Nova1	Map4k3	Prkaa2
Brwd1	Slc7a14	Raph1	Cacng3	Ldha
Celsr2	Skil	Peg13	Rbmx	Nrn1
Larp4b	Bex2	6330403K07Rik	Synpo	Appl1
Pdcd4	Pgbd5	Nap1l5	Foxk2	Ppp4r2
Clasp1	Enpp2	D430041D05Rik	Hspa5	Pgk1
Anp32b	4833439L19Rik	Ccdc82	Trnp1	Lynx1
Tet2	Wsb2	Stxbp6	Smarca1	Klc1
Creb1	Gatad2b	Prkaa2	Khdrbs1	Necap1
Dyrk1a	Tcea1	Ldha	Bcl9	Dtna
Atxn10	Tubb5	Nrn1	Ptgds	Ermn
Edil3	Fgfr1op2	Ppp4r2	Rnf6	Wdr7
Snx13	Cdk14	Pgk1	Rnf214	Pde10a
Atn1	Pfkp	Lynx1	Drosha	Rnf157
Capzb	Kcnip3	Klc1	Pan3	Cux1
Vcp	Scn1a	Dtna	Atf4	Adam23
Clcn3	Ahi1	Ermn	Fhl1	Zbtb44
Man2a2	Zfp612	Wdr7	B230217C12Rik	Dlg1
Lmbrd1	Cobl	Gm20300	Golga3	Rpl31
4930470H14Rik	Atp1a1	Pde10a	Map7	Alcam
Tmem181b-ps	Grin2b	Rnf157	Camkk2	Tlk1
Nell2	Vps26b	Cux1	Adcy9	Camk2d
Eml5	Fmn1	Adam23	Fbxl20	Arid4b
Prmt8	Dpp10	Nr1d1	Sema6d	Sf3b1
Vps13a	Zwint	Dynlrb1	Zrsr2	Syt4
Samd8	Slc6a1	Zbtb44	Bag4	Hnrnpa0
Ppp2r1a	Gria4	Srsf5	Pitpnm3	Anp32a
Ythdf3	Rgl1	Dlg1	Sirt2	Dynll1
Tbc1d24	Atf6	Rpl31	Slitrk4	Ivns1abp
Rps25	Itm2b	Alcam	Cacna1c	Bend6
Phactr3	Epha4	Tlk1	Gnb5	Rims2
Lnpep	Cdk19	Camk2d	Dlc1	Add1
Ss18l1	Fam78b	Arid4b	Ssbp3	Klhl2
Ttc14	Nav2	Sf3b1	Rtn4rl1	Cnr1
Far1	Eif3c	Syt4	Nr4a2	Arrb1
Ccdc47	Pcnx	Hnrnpa0	Asrgl1	Baalc
Mdga2	Csnk1a1	Zfp664	Tbc1d9b	Ntm
Ube3a	Dcx	Anp32a	Btrc	Mbp
Ipo5	Nr2c2	Dynll1	Pacs2	Trp53inp2
Grin2a	Ankrd46	Pnisr	Zfp804a	Ube2j1
Hs2st1	Shroom2	Ivns1abp	Cdh11	Osbpl8
Hipk2	Rgs2	Bend6	Ccnd2	Rapgef2
Cnp	Kctd12	Rims2	Smyd3	Fbxl16
Aco2	Trak2	Add1	Sytl2	Capns1
Rps6kb1	Mras	Klhl2	Peg10	Ddn
Zmat2	Tmem167	Cnr1	Pmepa1	Ctif
Mobp	Tspan13	Arrb1	Lrp8	Bnip3l
Usp11	B230209E15Rik	Baalc	Rgs20	Ptprt
Nbr1	Tspan5	Ntm	Psmd7	Tspan2
Stmn4	Usp22	Grm5	Snrk	Crebrf
Ranbp2	Tuba4a	Mbp	Tgs1	Kbtbd11
Tmem88b	Snn	Trp53inp2	Extl3	Klf9
Rhoa	Ppm1h	Osbpl8	Tceal8	Zeb1
Phip	Hmgcs1	Smg7	Pik3r3	Ahcyl2
Nrg3	Rasgrf2	Rapgef2	Mtus2	Ryr2
Flrt2	Klhl9	Fbxl16	Kcna4	Ap2m1
Kcnq5	Efhd2	Capns1	Prex1	Ralyl
Ube2ql1	Hecw1	Ddn	Crim1	Cep170b
Nono	Tbr1	Eea1	Nt5dc3	Slc7a14
Gatc	Rnf169	Ctif	Nsmf	Skil
Eif2s2	Amph	Ugcg	Dgkz	Mfsd6
Slc9a6	Sobp	Ptprt	Ugt8a	Bex2
Ccdc92	Chp1	Tspan2	Ngef	Meis2
Ablim1	Cttnbp2	Crebrf	Acvr1c	Pgbd5
Gabrg2	Faim2	Kbtbd11	Gab1	Enpp2
Spred2	Wfs1	Zeb1	Gng7	4833439L19Rik
Vti1a	Ptn	Ahcyl2	Ndn	Wsb2
Rock1	Rab15	Slc38a1	Unc13c	Gatad2b
Chchd2	Morf4l2	Ryr2	Plekha5	Tcea1
Vamp1	Agap2	Ap2m1	Ptpn3	Tubb5
AI504432	Golga7	Ralyl	Prkg1	Fgfr1op2
Atp2c1	Hnrnph2	Cep170b	Smap1	Cdk14
Neo1	Gstm1	Slc7a14	Ackr1	Ogfod1
Tmem33	Ubqln1	Skil	Srsf6	Zhx1
Srp54a	Ociad2	Mfsd6	Foxp2	Pfkp
Ndufa4	Disp2	Meis2	Bnip3	Alg2
Socs5	Ago2	Gria1	Id4	Kcnip3
Csdc2	Tm9sf3	Ndfip1	Neat1	Scn1a
5730409E04Rik	Celsr2	Pgbd5	5330434G04Rik	Ahi1
Cmtm4	Btf3l4	Enpp2	Nyap2	Cobl
Mdm4	Elavl4	4833439L19Rik	Zhx3	Atp1a1
Naca	Gpd2	Wsb2	Slain1	Vps26b
Fundc2	Jak1	Tubb5	Leo1	Fmn1
Fto	Rps4x	Fgfr1op2	Appl2	Slc2a13
Plcb4	Plxna4	Cdk14	Ctsd	Sirpa
Cat	6430548M08Rik	Ogfod1	Ttyh3	Zwint
Gfpt1	Gabbr2	Zhx1	Riok3	Slc6a1
Tub	Setd2	Pfkp	Sccpdh	Gria4
Pitpnc1	Efr3b	Alg2	Ube3c	Rgl1
Paip2	Syn3	Kcnip3	Pdk1	Inpp5f
Ktn1	Fgf13	Scn1a	Igf2	Atp6v0a1
Map7d1	Nisch	Ahi1	Cpsf7	Atf6
Atp11b	Dstn	Cobl	Adar	Epha4
Rps24	Asph	Atp1a1	Lamp5	Trio
Uri1	Ppp2r2b	Vps26b	Slc35f3	Cdk19
Pikfyve	Mal2	Fmn1	Bcl2	Fam78b
Gabra4	B3gat1	Kat6a	Utp3	Nav2
Tspan3	Mapk8ip3	Slc2a13	Rab3b	Pex5l
Epas1	4933431E20Rik	Sirpa	Tomm34	Rgs8
Pdk2	Vcp	Zwint	Trp53i11	Fam117b
Dnajc21	Fgf14	Slc6a1	Rdx	Pcnx
Rpl23a	Man2a2	Gria4	Gtpbp4	Csnk1a1
Arpc5	Arap2	Rgl1	Rimbp2	Dcx
Fnbp1	Prpf38b	Inpp5f	Cdk2ap1	Nr2c2
Arcn1	Cipc	Atp6v0a1	Txnl4a	Pdp1
Ssbp2	Cdip1	Atf6	Ssrp1	Ankrd46
Slc23a2	Vamp4	Epha4	Zfhx4	Shroom2
Eif4a1	Eml5	Trio	Tcp11l1	Rgs2
Psat1	Pde4dip	Cdk19	Sema6a	Dusp3
Acvr2a	Atp2b3	Rab39b	Pcdh15	Tmem47
Gpr88	Prmt8	Fam78b	Zbtb20	Kctd12
Cox7b	Arhgap44	Nav2	Tenm4	Trak2
Cox8a	Ppp1r9b	Dek	Krit1	Mras
Pknox2	Srsf11	Rgs8	Znrf3	Kcnip4
Purg	Samd8	Fam117b	Mtus1	Tmem167
Etv5	Uhmk1	Pcnx	Flrt1	Tspan13
Rps23	Rap1gap2	Csnk1a1	Pde1b	Sult4a1
Cox7c	Rangap1	Dcx	Grik5	B230209E15Rik
Ube2q1	Rbm5	Ssr1	Cdyl2	Tspan5
Rnf7	Mef2d	Nr2c2	Ctps2	Usp22
Cdk5r2	Ddhd1	Ankrd46	Rasgef1b	Tuba4a
Cacnb3	Tbc1d24	Nmnat2	Scn1b	Snn
Zfp788	Sphkap	Shroom2	Kat7	Wbp2
Ireb2	Sh3bgrl	Rgs2	9530068E07Rik	Ppm1h
