IN.Sh.Gh	IN.Norm.Sh	IN.Anx.Sh	IN.Norm.Anx	IN.Flx.Sh
	Zdhhc1	Actn1		Col19a1
	Bche	Etaa1		Cetn2
	Impdh2	Carhsp1		Map4k2
	Frzb	Nr4a1		Zfp703
	Pamr1	Pak6		Dsel
	Polr3g	Myh9		Zfp40
	Gga1	Trib1		Gabrb1
	Pcdh8	Cbx7		Cirbp
	Stk10	Gm2897		Cab39l
	Rpa2	Snapc5		Oprd1
	Dusp15	Spata13		Dtx1
	Lnx2	Nln		Hs3st2
	Rpf1	Hspa2		Zfp945
	Zfp943	Arhgef28		Mrps36
	Racgap1	Slc41a2		Trpc5
	Nup35	Slc30a3		Pm20d2
	Manf	Itgbl1		Nptx2
	Gucy2e	Cers2		Gpr12
	Lmna	Pold3		Krcc1
	Zfp708	Tmem9		Doc2b
	Bop1	Stat3		Pex3
	Tgfb3	Fstl5		Jup
	Heyl	Rnasel		Arfgap1
	Vkorc1	Plekha2		Prr13
	Ppp1r16a	Ccnyl1		Sgk3
	Phgdh	Aldh9a1		Pfkl
	Nbl1	Rexo4		Lix1l
	Stk32b	Stard3nl		G3bp1
	Slc13a4	Fbxo31		Cdkn1a
	Dnah1	Gli3		Rab36
	Nr4a3	Nck2		Agpat4
	Spice1	Chga		Tgfb1i1
	Arsg	Coch		Fam53b
	Serpina3n	Idh1		Igfbp4
	Uck2	Cdh7		2900052N01Rik
	Syt10	Pttg1ip		Pim2
	Slc22a15	Tmem50a		Sgsm1
	Zdhhc22	Slc9a7		Bfar
	Plxdc1	Cbln4		Uprt
	Trim13	Map3k4		Rab40b
	Opalin	St18		Lrif1
	2210408F21Rik	Maml3		Hpcal1
	Vstm5	Ppm1d		Ing3
	Prokr2	Zcchc12		Kif1c
	Car4	Nim1k		Ftsj3
	Fam43b	Orai2		Ttll11
	Ebf1	Serpinb8		9330102E08Rik
	Mars2	Nrp1		Cyth1
	Vat1	Sorcs3		Zfp423
	Ttc38	Col19a1		Grip1
	Fancf	Cetn2		Necab2
	Slc17a8	Map4k2		Zbtb1
	Pappa2	Zfp703		Parm1
	Znhit2	Dsel		Fat4
	Cox18	Pdcl		Srrt
	Hmces	Zfp40		Mpi
	Ryr1	Gabrb1		Sowahc
	Otof	Cab39l		Kit
	Cav1	Oprd1		Hs6st1
	St6galnac4	Dtx1		Krt12
	Sh2b3	Hs3st2		Usp13
	Gm15760	Zfp945		Heg1
	Zc3h8	Mrps36		Srsf9
	Hspa1l	Trpc5		Kcns2
	Gpr45	Pm20d2		Ankrd44
	Tmem98	Nptx2		Pdf
	Cxcl12	Gpr12		Mospd3
	Itgam	Doc2b		Pld5
	Wnt5a	Trmt61a		Tmem63c
	Vwa3a	Pex3		Iglon5
	Egfem1	Slc25a17		Tunar
	Aldh1l2	Jup		Pmpcb
	Abcc8	Arfgap1		Firre
	Shd	Rps10		Cacna1g
	Rassf4	Sgk3		Slc1a4
	Myh3	Cdh9		Il1rapl1
	Mttp	Pfkl		Rnf144b
	Zfp558	Lix1l		Sulf1
	Med31	Cdkn1a		Gna12
	Gng11	Rab36		Os9
	1700028K03Rik	Megf10		Rara
	Prrg1	Htr2a		Ptprf
	Ogn	Rbm4b		Sgsm2
	Fxyd7	Agpat4		Ephb1
	Cpne7	Tgfb1i1		Sec11c
	Dcn	Mybl1		Zfp606
	Tll1	Fam53b		Gfap
	Zc3hc1	Igfbp4		Rab26
	Cdkn1c	2900052N01Rik		Cnn3
	Cfh	B3gnt2		Zfp935
	Gdpd5	Pim2		Guf1
	Gm13629	Gm10033		Eid2b
	Hr	Sgsm1		Cyb561
	Abhd14b	Rmnd5b		Gdap1l1
	Trpc7	Dock1		Rap1gap
	Gm19522	Zfp382		Wscd2
	Irs4	Nfe2l2		Atp11c
	9230114K14Rik	Uprt		Smn1
	Zfp934	Snrnp48		Fjx1
	Gm13889	Rab40b		Amy1
	Tnfaip3	Hpcal1		Wdr6
	Mex3a	Pls1		Sephs2
	Cenpj	Kif1c		Mn1
	Ebf2	Ing1		Ppp4r1
	Sgcz	Ttll11		Pxdn
	Mak	9330102E08Rik		Ndst4
	Wnt7b	Cyth1		Rai14
	Olfml1	Gm9899		Zfpm2
	6330549D23Rik	Zfp423		Smc4
	Armc2	Grip1		Palmd
	Psg16	Necab2		Fosb
	Mxra7	Zbtb1		Pcdhb18
	Phf21b	Fat4		Mafg
	Cd44	Bcorl1		Drd2
	Blm	Srrt		Them4
	Vwa1	Sowahc		Zfp516
	Cdpf1	Kit		Rbm15
	Smoc2	Hs6st1		Gm15663
	Myh14	Krt12		Gpr37
	Zbtb40	Usp13		Cabyr
	Usf1	Heg1		Rpl36
	Tmem91	Srsf9		Cdkn2d
	Ccdc80	Ankrd44		Acvr1
	Lpcat2	Cdh18		Zfp120
	Zfp963	Brpf1		Amot
	F2rl2	Mospd3		Reep6
	2300009A05Rik	Pld5		Isoc1
	Cyb5r1	Iglon5		Trap1
	Kcnh4	Tunar		Wscd1
	Nfatc1	Firre		Rbm7
	Zfp300	Cacna1g		Prmt2
	Hspa1a	Usp49		Nudt10
	Cdhr1	Slc1a4		Vstm2b
	Sf3a2	Il1rapl1		Sorbs3
	Slc35d3	Lipa		Spns2
	Efcab6	Sorbs2os		Fancm
	Dusp4	Rnf144b		Cdk18
	Cldn10	Sulf1		Zcchc3
	Cd83	Rara		Itpk1
	Rbp1	Ptprf		Osgepl1
	Slc5a6	Sgsm2		Marcksl1
	Kcng4	Ephb1		Neurod1
	Zbtb8a	Sec11c		Fn3krp
	Kcnmb2	Gfap		Agfg2
	Cenpe	Rab26		Hcfc2
	Slc10a7	Hap1		Hipk4
	Pard6a	Cnn3		Lysmd3
	Aph1a	Zfp935		Adhfe1
	Timm10b	Eid2b		Rasl10a
	Hmgcl	Cyb561		Cnot8
	Gm10509	Lmo2		Hagh
	Prdm5	Gdap1l1		Pcsk5
	Tirap	Dab2		Numbl
	Gusb	Rap1gap		Pkd1
	Rps27l	Grb14		Schip1
	Gm9958	Wscd2		Ppp1r26
	Hyls1	Atp11c		Ankrd34c
	Ercc1	Simc1		Adrb1
	Mybpc1	Rimkla		Cd4
	Pigx	Smn1		Sec23b
	Prg4	Fjx1		Cd24a
	Arl4d	Amy1		Zfp317
	Plod2	Wdr6		Zfp882
	Tbl3	Sephs2		Mog
	Gucy2g	Mn1		Fam43a
	Psrc1	Ppp4r1		Oxtr
	Cyp1b1	Pxdn		Apaf1
	Prl	Ndst4		Cdh20
	Mob2	Rai14		Cep128
	Pdgfb	Zfpm2		Acot2
	Col4a1	Fkbp1b		Cbln2
	1600029O15Rik	Smc4		Atp13a2
	C1qtnf1	Palmd		Myrf
	Pcbd1	Pcdhb18		Npnt
	Capn15	Drd2		Samd5
	L3mbtl1	Zfp516		Ptgs2
	Lipg	Gm15663		Htr1a
	Slc29a4	Gpr37		Ldlrad4
	Car15	Tgfbr1		Upp2
	Snx21	Cabyr		Igsf9b
	Znf41-ps	Rpl36		Zkscan2
	Rps15a-ps6	Cdkn2d		Il17ra
	Gpr34	Acvr1		Timmdc1
	Slc26a8	Usp40		Trappc2
	Enpp1	Isoc1		Mettl8
	Prim2	Trap1		Klhdc1
	Hkdc1	Lpar1		Itgb8
	Angel1	Rbm7		Etv3
	Hcn3	Arl6ip4		Sema4a
	Wnt10a	Prmt2		Ap1s3
	Zfp787	Nudt10		Ddx21
	Zfpm1	Vstm2b		Zfp811
	Atf5	Ccdc73		Ap1s1
	Rtn4rl2	Gkap1		Dtl
	Masp1	Sorbs3		Ctso
	Gm10432	Spns2		Ipo4
	Serpind1	Fancm		Eif3b
	Frem1	Ankrd13a		Myl6b
	Arsj	Cdk18		Dnajc14
	Gpr3	Sipa1l2		Creg1
	Nt5dc1	Zcchc3		Trim62
	Sertad1	Itpk1		Vgf
	Fbxo6	Osgepl1		Cadm4
	Atp10b	Marcksl1		Cep104
	Slc22a6	Neurod1		Kif17
	Ankrd37	Fn3krp		Dgkk
	Pi4k2b	Agfg2		Zfand1
	Zfp428	Hcfc2		4930447C04Rik
	Pard3b	Hipk4		Msantd2
	Gpnmb	Apc2		Crhbp
	4933439C10Rik	Adhfe1		Acot11
	Zc3hav1	Rasl10a		9330133O14Rik
	Fancd2os	Cnot8		Myo1d
	Fam117a	Hagh		Pde5a
	Nckap5l	Pcsk5		Zdhhc6
	Pcdhb21	Numbl		Fbl
	Lipe	Pkd1		Tnnt2
	Glra3	Setd6		Pgm2
	Hapln2	Ptprr		Hat1
	Cspg4	Rad18		Slc25a32
	Dpm3	Ankrd34c		Ptgs1
	Kank4	Adrb1		R74862
	Lmf2	Cd4		Fkbp5
	Fgfrl1	Adal		Adcy8
	Pappa	Sec23b		Larp1b
	Nts	Cd24a		Tmem200a
	Akt1s1	Ext2		Dlx1as
	Pik3r6	Zfp882		Tmem209
	Htra4	Mog		Atad5
	Fhdc1	Fam43a		Rassf5
	Slc2a8	Oxtr		Fam118a
	Sned1	Apaf1		Gtf2a2
	Hmox1	Eif1ad		Ptpro
	Htatip2	Cdh20		Mmaa
	Gstcd	Cep128		Otub2
	Tbc1d10a	Acot2		Slc5a5
	Tcte1	Cbln2		Ucp2
	Hebp2	Dock5		Fam185a
	AU040972	Atp13a2		Cd34
	Gucy2f	Ube2g2		Stk40
	5430405H02Rik	Plekhg1		Taf6
	Serinc2	Myrf		Dgat2
	Oacyl	Npnt		Slc7a5
	Cd28	Hsdl1		Vash1
	Rgs13	Samd5		Rmdn3
	Slc10a4	Ptgs2		Glmn
	Ccnf	Chd7		Smarcd3
	Ccdc96	Htr1a		Sh2b1
	Plk5	Ldlrad4		Lig4
	Tjap1	Kif16b		Sgpp2
	Aox3	Igsf9b		Car12
	Mgp	Il17ra		Cdk10
	Ier3	Timmdc1		Adnp2
	Adamtsl4	Arl16		Pkd2l2
	Zic3	Ankrd13b		Tmem39a
	Hspa1b	Thoc3		Trp53inp1
	4930572O13Rik	Trappc2		Vsig2
	Kazald1	Sall1		Dusp16
	Shq1	Mettl8		Arhgef15
	Slc2a6	Klhdc1		Mbd6
	Pus7l	Slc16a14		Mpp3
	Mpzl2	Dcakd		Prkg2
	Frmd7	Etv3		Swt1
	1700027H10Rik	Lin37		Trim59
	1700096K18Rik	Ttc28		Arrb2
	Adamts18	Sema4a		Slc2a1
	Stra6	Bcl2l11		Arl13b
	Npbwr1	Ap1s3		Yap1
	Pcdhgb7	Ddx21		Sec61a1
	Aldh3b2	Zfp811		Prss23
	Cebpa	Car8		Gabrd
	Dock6	Ap1s1		Myo1e
	1700110C19Rik	Dtl		Nabp1
	Gm3696	Ctso		Urb2
	Itga11	Cep250		Ampd3
	Klf4	Ipo4		Dyrk2
	Slitrk6	Eif3b		Ccser1
	Adcy10	Sptssa		Abcb10
	AA387883	Dnajc14		Mpnd
	Vmn2r84	Creg1		Gstp2
	Gsta3	Aurkaip1		Usp20
	Clspn	Trim62		Ctdsp1
	P2rx6	Vgf		Gm5148
	Ocel1	Fabp3		Rnf182
	Rpe65	Cadm4		Ring1
	Rin3	Kif17		Pabpc4
	Adam1b	Dgkk		Npr3
	Gem	Zfand1		Blnk
	Gxylt2	4930447C04Rik		Ddx54
	Cyp4f16	Crhbp		Cln8
	Mcm2	Acot11		Hebp1
	Neurod4	9330133O14Rik		Scn9a
	Wrap53	Myo1d		Pex5
	4933424G05Rik	Pde5a		Kxd1
	Glra1	Cmya5		Sstr3
	Pdlim4	Slc35f5		Grn
	Dpp7	Thap11		Zfp433
	E2f2	Tnnt2		Sowahb
	Nxf7	Zfp395		Ippk
	Nkx6-2	Hat1		Prr18
	Clec18a	Zfp709		Emx2os
	Lrp2bp	Bean1		Gas2l1
	Agmat	Slc25a32		Sstr1
	Ccdc81	Ptgs1		Tmem67
	Cga	R74862		Fam184b
	Cited4	Fkbp5		Sfrp1
	Angptl1	Adcy8		Fbxl19
	Rnf122	Larp1b		Acad8
	Vwa5b1	Tmem200a		Hspb6
	Ccdc51	Dlx1as		Rit1
	Haus8	Tmem209		Enpp6
	Acaa1b	Atad5		Rspo2
	Pdia5	Rassf5		Msrb2
	Pcdha3	Gtf2a2		Grcc10
	Myom3	Ptpro		Bckdk
	Tc2n	Otub2		Gpr68
	Krt80	0610043K17Rik		Map2k2
	Efemp2	Slc5a5		Crtac1
	Ano8	Ucp2		Usp3
	Knstrn	Fam185a		Pcdhb13
	Tagln	Cd34		Pcdh20
	Ecm1	Stk40		Dgkq
	Pomc	Taf6		Rgs5
	Airn	Por		Tufm
	Adrb2	Matn2		Inpp4b
	Hydin	Dgat2		Rerg
	Polg2	Slc7a5		Pdcd7
	Gramd1c	Vash1		Apln
	Abca17	Rmdn3		6430584L05Rik
	E2f8	Smarcd3		Six3
	Fbxo48	Lig4		Xrcc3
	Aspg	Dok5		Ttyh2
	Zmynd10	Sgpp2		Tmtc4
	Ttc12	Car12		Src
	Stc2	Cdk10		Tom1
	Gpr139	Adnp2		Ccdc141
	Sash3	Fam120aos		Ptp4a3
	Mcemp1	Pkd2l2		Vim
	Ppp1r13l	Tmem63a		Pgm3
	1700010I14Rik	Tmem39a		Lima1
	Mlxipl	Vsig2		Hhip
	Gm21284	Dusp16		Gstm7
		Arhgef15		2810021J22Rik
		Mpp3		S100a11
		Fgfr1		Lactb2
		Prkg2		Fgf10
		Trim59		Scn7a
		Tox2		Pitpnm1
		Slc2a1		Nos1
		Yap1		Pcdhb20
		Sec61a1		Rps6ka6
		Prss23		Zdhhc15
		Gabrd		Dact1
		Myo1e		AW551984
		Nabp1		Tmbim4
		Ampd3		Wdr20
		Dyrk2		Pip5k1b
		Ccser1		Acot1
		Ap5m1		Tbc1d7
		Abcb10		Rtkn
		Gstp2		Etnppl
		Prelp		Slc7a4
		Frmd4b		Arfrp1
		Usp20		B230216N24Rik
		Zfyve9		Lair1
		Ctdsp1		Gm14403
		Gm5148		Rtn2
		Pus7		Mgst3
		Notch2		Gh
		Lrrc3b		Cradd
		Ring1		Pcsk1
		Trim26		Frmd3
		Cabp1		Arvcf
		Pabpc4		Tesc
		Blnk		Hopx
		Ddx54		Cr1l
		Fbf1		Zbtb39
		Ptpmt1		Smpdl3a
		Hebp1		D430036J16Rik
		Scn9a		Mag
		Ctc1		Stc1
		Kxd1		Zfp623
		Sstr3		Slc45a1
		Plch1		Kl
		Zscan12		4833422C13Rik
		Pdcd2		Erf
		Sowahb		Rcbtb2
		Bex4		Filip1l
		Scrt2		A930012L18Rik
		Prr18		Zfp459
		Emx2os		Scarb1
		Gas2l1		Zfp28
		Sstr1		Gm10754
		Fam184b		Nsun7
		Acad8		Pex6
		Hspb6		Cep85
		Jpx		Pllp
		Rarb		Jdp2
		Oprl1		Limk1
		Qsox2		Adra1b
		Enpp6		Sdk2
		Cdh4		Arx
		Rspo2		Prcp
		Msrb2		Pvt1
		Bckdk		Doc2a
		Gpr68		Slco5a1
		Rsad1		Piga
		Crtac1		Zfp960
		Pcdhb13		Cyp26b1
		Pcdh20		Grm2
		Dgkq		Timp4
		Rgs5		Rspo1
		Tufm		Bloc1s2
		Trpc4		Zbtb25
		Inpp4b		Ctbp2
		Rerg		Slc24a4
		Arl1		Ttc27
		Cep112		Rprml
		Apln		Fndc9
		6430584L05Rik		9630013A20Rik
		Six3		Unc5b
		Xrcc3		Pter
		Ttyh2		AU023762
		Pcsk2os1		Nedd9
		Slc27a1		Gpc1
		Tmtc4		Alkbh6
		Tom1		Plch2
		Ccdc141		Islr2
		Ascl1		Dis3l2
		Ptp4a3		Aldh1l1
		Vim		St8sia4
		Cntrl		Arl6ip5
		Ranbp3l		F8a
		Lima1		C130083M11Rik
		Hhip		Pdlim1
		Polr2c		Golm1
		Gstm7		Bysl
		Sh3bp5l		Mark4
		Fgf10		Gas2
		Scn7a		Slc25a20
		Nos1		Mir128-1
		Pcdhb20		Gm5141
		Rps6ka6		Fhad1
		Zdhhc15		Mccc2
		Acadm		Lgi2
		AW551984		Tubgcp6
		Pip5k1b		Smad7
		Acot1		Mms19
		Tbc1d7		Xylt1
		Slc7a4		Tpm2
		Wdr36		Dhps
		Samd10		Gm14305
		B230216N24Rik		Glt8d2
		Pex2		Syndig1l
		Commd4		1700048O20Rik
		Fgf5		Pard6b
		Gm14403		Samm50
		Tmem229b		Wnt9a
		Ccdc15		Zdhhc18
		Rtn2		Tbc1d25
		Gh		Elk3
		Cradd		Foxo6
		Pcsk1		Slc5a7
		Frmd3		Cdr2
		Arvcf		Smox
		Tesc		Med22
		Hopx		Cdc42ep3
		C630043F03Rik		Tbc1d2b
		Nucb1		Zdhhc1
		Cr1l		Bche
		Kdelr1		Impdh2
		D430036J16Rik		Frzb
		Map3k1		Pamr1
		Mag		Wdr54
		Stc1		Polr3g
		Sh3rf2		Pcdh8
		Zfp623		Stk10
		Slc45a1		Sfmbt2
		Kl		Gmppa
		4833422C13Rik		Rpa2
		Erf		Ikzf1
		Pla2g12a		Dusp15
		Wwp2		Dlx5
		Rcbtb2		Zfp946
		Filip1l		Lnx2
		A930012L18Rik		Mrps30
		Zfp459		Rpf1
		Scarb1		Pus3
		Zfp28		Zfp958
		Gtf2h3		Cmtm5
		Gm10754		Racgap1
		Nsun7		Nup35
		Cep85		Manf
		Pllp		Gucy2e
		Jdp2		Ttc39c
		Limk1		Zfp455
		Adra1b		Bop1
		Sdk2		Tspan6
		Arx		Tgfb3
		Prcp		Slc38a10
		Doc2a		Rhog
		Slco5a1		Sycp2
		Piga		Vkorc1
		Arsk		Dbp
		Zfp960		Ppp1r16a
		Grm2		Dach1
		Rspo1		Fam227a
		Nckap5		Phgdh
		Ctbp2		Nbl1
		Slc24a4		P4htm
		Ttc27		Stk32b
		Rprml		Slc13a4
		Fndc9		Dnah1
		9630013A20Rik		Nr4a3
		Unc5b		Col4a2
		Pter		Zfp446
		AU023762		Nrip2
		Adra1d		Arsg
		Nedd9		Serpina3n
		Gpc1		Dusp10
		Alkbh6		Parp4
		Oser1		Uck2
		Plch2		Nxpe4
		Islr2		Syt10
		St8sia4		Slc22a15
		Pde8a		Zdhhc22
		Actl6a		Plxdc1
		Arl6ip5		Bmper
		F8a		Zkscan6
		C130083M11Rik		Cdh6
		Pdlim1		Tcea2
		Golm1		Ldb3
		Mark4		Opalin
		Syt9		2210408F21Rik
		Sema6b		Vstm5
		Slc25a20		Prokr2
		Mir128-1		Car4
		Gm5141		Fam43b
		Fhad1		Slc44a5
		Mccc2		Ebf1
		Tubgcp6		Vat1
		Galnt14		Ttc38
		Xylt1		2310009B15Rik
		Tpm2		Fancf
		Dhps		Slc17a8
		Sh3yl1		Pappa2
		Glt8d2		Acaa2
		Syndig1l		Znhit2
		Slc25a15		Hmces
		Pard6b		Crispld1
		Wnt9a		Ryr1
		Zdhhc18		Otof
		Camk1		St6galnac4
		Tbc1d25		Sh2b3
		Rhbdl3		Gm15760
		Cpm		Zc3h8
		Foxo6		Adprm
		Slc5a7		Hspa1l
		S1pr5		Them6
		Cdr2		Dgka
		Smox		Gpr45
		Med22		2700099C18Rik
		Cdc42ep3		Aprt
		Tbc1d2b		Tmem98
		Grm8		Zfp511
		Bche		Cxcl12
		Impdh2		Itgam
		Frzb		3110040N11Rik
		Pamr1		Phpt1
		Wdr54		9530080O11Rik
		Pcdh8		Vwa3a
		Sfmbt2		B230217O12Rik
		Gmppa		Sigmar1
		Ikzf1		Arid3b
		Dusp15		Egfem1
		Dlx5		Aldh1l2
		Zfp946		Abcc8
		Lnx2		Shd
		Rpf1		Zfp775
		Pus3		Rassf4
		Tmem161a		Myh3
		Aldh18a1		Hpgd
		Zfp958		Adora2a
		Cmtm5		Mttp
		Racgap1		Ache
		Nup35		Gng11
		Gucy2e		Prrg1
		Ttc39c		Ogn
		Zfp455		Npsr1
		Bop1		Fxyd7
		Tgfb3		Sik1
		Ccdc28b		Abcc4
		Slc38a10		Cpne7
		Rhog		Kcna3
		Sycp2		Polr2d
		Kctd20		Dcn
		Crybg3		Gulp1
		Dbp		AU041133
		Arfgap3		Bag2
		Dach1		Rnf39
		Slc14a1		Tll1
		Bend5		Zc3hc1
		Dpp3		Cdkn1c
		Phgdh		Rbm20
		Nbl1		Cfh
		P4htm		Adamts4
		Txndc12		Gdpd5
		Stk32b		Gm13629
		Lrrc1		Hr
		Tmem132a		Abhd14b
		Slc13a4		Trpc7
		Dnah1		Slc4a2
		Nr4a3		Gm19522
		Cdan1		Irs4
		Zfp446		9230114K14Rik
		Nrip2		St3gal4
		Wdr81		Smim18
		Arsg		Zfp934
		Serpina3n		Adamtsl1
		Dusp10		Gm13889
		Parp4		Gm13446
		Uck2		Thop1
		Poc1a		Pcgf1
		Nxpe4		S100a6
		Gpr153		Tnfaip3
		Syt10		Mex3a
		Metap1d		Cenpj
		Kcnh2		Ebf2
		Zfp128		2410006H16Rik
		Zdhhc22		Mycn
		Plxdc1		Mcm6
		Bmper		Sgcz
		Zkscan6		Mak
		Cdh6		Wnt7b
		Tcea2		Olfml1
		Pih1d1		Psg16
		Ldb3		Rnd2
		Opalin		Mxra7
		2210408F21Rik		Phf21b
		Creb3		4930525G20Rik
		Vstm5		Cd44
		Mok		Vwa1
		Prokr2		Hic2
		Car4		Smyd1
		Fam43b		Panx1
		Slc44a5		Prim1
		Ebf1		3110056K07Rik
		Vat1		Cotl1
		Sec24d		Smoc2
		2310009B15Rik		Myh14
		Fancf		Zbtb40
		Slc17a8		Tmem91
		Bet1l		Ccdc80
		Crispld1		Zfp963
		Ryr1		F2rl2
		Otof		2300009A05Rik
		St6galnac4		Cyb5r1
		Gm15760		Kcnh4
		Adprm		Ncapd2
		Mthfr		Col8a1
		Lin9		Rps6kb2
		Swsap1		Zfp300
		Them6		Kremen1
		Dgka		Hspa1a
		Gpr45		Cdhr1
		2700099C18Rik		Slc35d3
		Tmem98		Igfbp7
		Zfp511		4933412O06Rik
		Cxcl12		Efcab6
		Zfp850		5330413P13Rik
		3110040N11Rik		Rnaseh2c
		Plat		Cd180
		Phpt1		Dusp4
		Flad1		Efcab7
		9530080O11Rik		Cd83
		Mtr		Rbp1
		Vwa3a		Slc5a6
		B230217O12Rik		Kcng4
		Arid3b		Adat1
		Egfem1		Zbtb8a
		Aldh1l2		Slc10a7
		Pxmp4		Pars2
		Shd		Aph1a
		Zfp775		Cdnf
		Prkab1		Six4
		Myh3		Perp
		Adora2a		Gm10509
		Spag6		Sptssb
		Tmem14c		Prdm5
		Fgfbp3		Hyls1
		Mttp		Ercc1
		Ache		Mybpc1
		Gng11		Prg4
		Prrg1		Arl4d
		Ogn		Plod2
		Pcdhb12		Nudt12
		Npsr1		Emc9
		Fxyd7		Pcdhb9
		Uck1		Gucy2g
		Sik1		Runx1
		Abcc4		Psrc1
		Cpne7		Cyp1b1
		Kcna3		Radil
		Xrcc1		Prl
		Polr2d		Mob2
		AU041133		Slc16a10
		Tbc1d4		Pdgfb
		Bag2		Col4a1
		Rnf39		1600029O15Rik
		Tll1		Vasn
		Zc3hc1		Pou6f2
		Cdkn1c		C1qtnf1
		Tmem185b		AW011738
		Adamts4		Pskh1
		Gm13629		Tagln2
		Hr		Ebf3
		Abhd14b		Atp8b1
		Trpc7		L3mbtl1
		Slc4a2		Lipg
		Gm19522		Slc29a4
		Irs4		Aif1
		St3gal4		Slc13a3
		Smim18		Syde2
		Zfp934		Car15
		Gm13446		Snx21
		Thop1		Znf41-ps
		Pcgf1		Cdh19
		Tnfaip3		Gpr34
		Khdrbs2		Fancd2
		Cenpj		Slc26a8
		Ebf2		Isl1
		Mycn		Mrpl14
		Mcm6		Tmem258
		Sgcz		Cd68
		Mak		Enpp1
		Wnt7b		Efcc1
		Olfml1		Hkdc1
		Fmod		Gm4285
		Phf21b		Hcn3
		4930525G20Rik		Rhpn2
		Cd44		Wnt10a
		Fah		Chrnb3
		Vwa1		Zfpm1
		6030443J06Rik		Scnn1a
		Amotl2		Acp6
		Hic2		Rtn4rl2
		Colgalt2		Dnm3os
		Smyd1		Ido1
		Panx1		Cartpt
		Hint2		Masp1
		3110056K07Rik		Gadd45g
		Cotl1		Serpind1
		Plxnb3		Frem1
		Rhno1		Arsj
		Smoc2		1700047M11Rik
		Sh3bp4		Gpr3
		Myh14		Sertad1
		Tfb1m		Fbxo6
		Tmem91		Mcam
		Ccdc80		Dnajc4
		F2rl2		Atp10b
		2300009A05Rik		Klhl32
		Cyb5r1		Slc22a6
		Kcnh4		5730480H06Rik
		Ncapd2		Tcf7
		Tprn		Pi4k2b
		Kremen1		Zfp428
		Prkch		Six3os1
		Rangrf		Pard3b
		Gm7694		Gpnmb
		Pik3r5		4933439C10Rik
		Igfbp7		Zc3hav1
		Efcab6		Fancd2os
		Rnaseh2c		Col9a3
		Cd180		Zfp184
		Dusp4		Slc39a11
		Efcab7		Mov10
		Lamc2		Nckap5l
		Il15ra		Atp10a
		Cd83		Pcdhb21
		Gcfc2		Crhr1
		Rbp1		Lipe
		Ccdc120		A230001M10Rik
		Kcng4		Ret
		Phyhd1		Glra3
		Kif11		Vgll4
		Adat1		Hapln2
		Itm2a		Aldob
		Kcnj13		Gm12522
		Slc10a7		Rxfp3
		Six4		Ppp4r1l-ps
		Tpk1		Cspg4
		Smco3		Taf7l
		Gm15328		BC037704
		Gm10509		Nes
		Sptssb		Dpm3
		Prdm5		Kank4
		Hyls1		Gm11696
		Pcdhga6		Parvg
		Mybpc1		Pappa
		Prg4		Nts
		Arl4d		Pik3r6
		Plod2		Htra4
		Rgsl1		Cth
		Nudt12		Fhdc1
		Emc9		Sned1
		Gucy2g		Hmox1
		Runx1		Tubb6
		Cyp1b1		Htatip2
		Radil		Tbc1d10a
		Prl		Mei4
		Map2k3		Tcte1
		F730043M19Rik		Olfml3
		Meis1		Ephx1
		Slc16a10		Hebp2
		Pdgfb		Gucy2f
		Col4a1		Gm5088
		1600029O15Rik		5430405H02Rik
		Vasn		Serinc2
		9630001P10Rik		Oacyl
		Pou6f2		Cd28
		Mir568		Rab39
		C1qtnf1		Rgs13
		AW011738		Rtkn2
		Il18bp		Slc10a4
		Pskh1		Ccnf
		Tagln2		Ccdc96
		Ebf3		Pcdhb11
		Atp8b1		Myo3b
		L3mbtl1		AI115009
		D7Ertd443e		Plk5
		Rxrg		Tjap1
		Lipg		Myh1
		Slc29a4		Aox3
		Slc13a3		Mgp
		Syde2		Ier3
		Car15		Adamtsl4
		Snx21		Zic3
		Znf41-ps		Cyb561d2
		Cdh19		Stub1
		Gpr34		CK137956
		Fancd2		Edn3
		Slc26a8		Ptger3
		Aim2		4930572O13Rik
		Isl1		Kazald1
		Mrpl14		Shq1
		Mapk12		Arid5a
		Tmem258		Slc2a6
		Cd68		Gm10406
		Txlnb		Grtp1
		Enpp1		1700027H10Rik
		Efcc1		Insc
		Hkdc1		Cyp4f13
		Hcn3		1700096K18Rik
		Gm20754		Adamts18
		Rhpn2		Stra6
		Wnt10a		Npbwr1
		Chrnb3		Pcdhgb7
		Zfpm1		Gtf2h4
		C030029H02Rik		Aldh3b2
		Scnn1a		Usb1
		Col6a1		Apeh
		Rtn4rl2		Klf14
		Dnm3os		Cebpa
		Ido1		Dock6
		Cartpt		Lsp1
		Masp1		1700110C19Rik
		Gadd45g		Pdpn
		Serpind1		Gm3696
		Arsj		Itga11
		1700047M11Rik		Pcdha5
		Zbtb8b		Col1a1
		Ggh		Slc22a3
		Sgcd		Ehhadh
		Sertad1		Slitrk6
		Fbxo6		Adcy10
		Izumo4		Parp3
		Mcam		Vmn2r84
		Dnajc4		Slc12a8
		Atp10b		Gsta3
		Gstt1		Clspn
		Klhl32		P2rx6
		Slc22a6		Ocel1
		Tcf7		Rpe65
		Rcor2		Tnc
		Robo3		Rin3
		Zfp428		Ngb
		Six3os1		Cpxm1
		Hbegf		Adam1b
		Serpinb1a		Rab3il1
		Gpnmb		Gem
