TRP.Sh.Gh	TRP.Norm.Sh	TRP.Anx.Sh	TRP.Norm.Anx	TRP.Flx.Sh
Dbhos	Nip7	Mif		Zfp236
Bzw2	Hsd17b11	Glis2		Suclg2
Cryl1	Col3a1	Gstt3		Sae1
Fads3	Slc25a25	Ankrd50		Nefh
Mrpl44	Mrps21	Parp2		Serpinf1
Sox2	Hace1	Klhl23		Kcnk1
Gabrb1	Nr4a1	Olfm2		Ubxn6
Derl2	Jakmip3	Ndnf		Atp7a
St6galnac3	1500004A13Rik	Klhl29		Epg5
Mgst3	Myof	Wdr17		Lsm14b
Ehd1	Opa3	Zfp945		Sarnp
Gga1	Suds3	Dcc		Psma1
Sh2b3	Itih2	Vbp1		Zc3h7a
Gm1943	Sf3b6	Fezf2		Kcnt2
Tppp3	Blmh	Omd		Fez1
Pbld1	Ctso	Mlxip		Armcx2
Ngfr	Tnfaip8	Mrps36		Mgat4a
Zik1	Iqgap2	Gtf3c3		Timm8b
Camsap3	Ppp4r4	Gkap1		Kcnq3
Spns2	Sel1l3	Lcorl		Kcnq2
Galk2	Med12	Kpna2		Vps4a
Klhl17	Adarb2	Psenen		Rsbn1l
Syndig1	Abcc5	Nolc1		Eif4e3
Trim56	Slc11a2	Zfp869		Zfand3
Tspan14	Eif4a3	Acyp1		Plxna1
Rfx1	Las1l	Cacna1d		Csmd3
Wbp1	Rnpc3	Cacna2d3		Tfrc
Dnah7b	Rasgrp3	Zfp65		Gng11
Aprt	Arhgap39	Tmem181b-ps		Apbb1
Cyb561a3	Trappc3	Il33		Rassf3
Dlx6os1	Hspa2	Magoh		Kdm4c
Pot1b	Npc1	Erh		Dgke
4933421O10Rik	Tex9	Gtf2h5		Zc3hav1
Gpr68	Utp14b	Wdr33		Gjc3
Mccc2	Aldh7a1	Nsun2		Ppp2r5d
Yrdc	Lrrtm3	Zfhx2		Ppip5k1
Lsp1	Tpd52l1	Zbtb24		Glod4
Pfdn1	Mphosph9	Eogt		Nol6
Tmem109	Ints6	Sra1		Snx30
Abca8b	Slc25a35	Zfp937		Synm
Donson	Uvssa	Tgfa		Pgap1
Slc9a9	Sdr39u1	Inip		Ust
Trpc4	Kctd12b	Fbxo42		Nploc4
Hint2	Chuk	Spg11		Dennd1a
Pir	Stx6	Pcnt		Usp48
Kirrel3	Kif16b	Aip		Zfp654
Tmem181a	Dnajc30	Rab3ip		Trp53bp1
Pigg	Rab3gap1	Alms1		Por
Baiap2l1	Zc3h6	Mkrn2		Stat1
Syt2	Spty2d1	Eif2s3y		Luc7l
Pcdhga3	Hltf	Sidt1		E2f6
Gemin8	Zswim5	Ndufa6		Tenm1
Htr7	Itga4	Tapt1		Rab5a
Gpr89	Txndc5	Pdcl		Cdc42se1
Cacna1h	Fibp	Spred3		Lamtor1
Nat10	Exosc3	Smpd4		Dstyk
Chchd6	Isy1	Uggt1		Serac1
Ptpro	Mfap3	2410004B18Rik		Sptb
Twf2	Usp42	Tnrc18		Ints8
D130043K22Rik	Ophn1	Mcts1		Heatr5b
Six4	Rad23a	Tceal3		Syne2
Vash1	Abcg1	Dimt1		Rasgef1b
Akap8l	Mlip	Gps1		Hbs1l
Tmem179	Zfyve16	Ap3b2		Anapc4
Ascl1	Lrp3	Pik3c2b		Vwa5a
Cpt1c	Prpf18	Igfbp4		Haus2
Chid1	Ddit4l	Abcc4		Tmtc3
Sfi1	Sgta	Ifitm1		Cds1
Mgat1	Ift52	Igdcc4		Msl3
Ctcfl	Atp13a5	Osbpl3		B3galt2
B4galnt2	Gm17066	Lrrc61		Mafb
Ddit3	Ppp1r3b	Ndufv3		Dr1
Nid2	Slc35e1	Rara		Maea
Prdx4	Ppif	Bloc1s1		Snx14
A230057D06Rik	Gabra2	Zfp866		Ntan1
Hebp2	Gstp1	Pik3r4		Cops3
Gabrg1	Sv2c	Tnk2		Ppp1ca
Necap2	Pcdh15	Chchd3		B3glct
Col11a1	Zfp182	Dhx8		Zdhhc20
Kbtbd3	Tiparp	Tnr		Setd1b
Arhgap19	Dgki	Uty		Slc43a2
Cdan1	Als2	Dnajc1		Trappc11
Parp9	St6gal2	Anapc13		Lhx2
Lrriq1	Vezt	Ank1		Dip2a
Stx18	Rad1	Ino80		Phlpp2
4930511M06Rik	Mast1	Megf8		Ryr3
Zfp873	Ccdc115	Traf3		Vamp5
Pyroxd1	Neurl1b	Zfp961		Dagla
Tmem215	Pde6d	Nbas		Fez2
Exosc6	Epha6	Zbtb6		Grm1
Cntnap4	Cyp2f2	Psmd8		Kcnt1
Rfc2	Igfbp6	Edrf1		Strn4
Rasl10a	Snapc3	Pyurf		Zfp280c
Gmds	Plce1	Lmbr1		Rab43
Med31	Pttg1	Ppdpf		Trim66
Pard6b	Ehd2	H2-T24		Immp1l
Plekhg3	Zfp563	Neat1		Ndufa2
Fam111a	Ccnt2	Map6d1		Mau2
Plch2	Rnf112	Tmem8b		Eci2
Cep85	Zmym6	Per2		Fam216a
Cep164	Aurkaip1	Uggt2		Mrpl18
Blnk	Lgals3bp	Psmb5		Ddx39b
Jrkl	4833420G17Rik	Ndufs7		Gng7
Trmt61b	Fgf9	Commd3		Mmp16
Zbtb22	Zfp280b	Slc44a2		Zxda
Rab33a	Srrt	Pou6f1		Zyx
Kctd21	Slco1a4	Bag3		Dnajb2
Lysmd4	Prrt1	A730017L22Rik		Cox6b1
Alox8	Gpr137c	Hnrnpa1		Plekha5
Mrpl34	Fras1	Bmp2k		Cnot3
Rps6ka5	Arl6ip4	Urod		Rpe
Zfp446	H13	Cisd1		Ctsa
Dok5	Ing1	Rasa2		Idh1
Wdr54	Wdr6	Elfn2		Ntng1
Lrtm1	Sox11	Lrrk1		Mrpl3
Bmpr1b	Fam199x	Cdc37		Hexim1
Gpam	Dusp22	Fkbp8		Syt5
Xdh	Acadvl	Sp100		Rpp14
Zfyve19	Csmd2	Utp15		Col12a1
Ctnnbl1	Ifi27	Nae1		Erlin2
Slc38a6	Anln	Abca1		Trerf1
Lin28b	Atad2	Trmt112		Eif3g
Itga9	Ptpn23	Lrrc49		Mctp1
Dlx1as	Ttc17	Col6a1		Pdrg1
Nos1	Lcmt1	Sox6		Slitrk2
4930503L19Rik	Actr3b	Dsel		Tbk1
Mfsd8	Map4k2	Ddx18		Ppa2
Fam193b	Thoc1	Sh3rf1		Wdr11
Ten1	Acsf2	Snrpg		Cyp26b1
Zdhhc1	Il13ra1	Mrpl51		Pou3f3
Wdr3	Enoph1	Gm6682		Gnpat
Snip1	Gstt1	Jph3		Farp1
Nckap5	Celsr3	Agrn		Timm8a1
Tmem170	Grk4	Dnaja3		Slc20a1
Nacad	Asic1	Pdk3		Stard13
Samd12	Kitl	Asf1a		Znfx1
Znhit1	Acot2	Kcnj9		Mrpl39
Xkr6	Tcf7	Gm5124		Slbp
Mfsd11	Fbxo8	Josd1		Phax
Nt5c3b	Nsmaf	Tec		Vegfa
Avpi1	Hadh	Rarb		Decr1
Pck2	Crem	Phka2		Hax1
Ggh	Bcl10	Daam2		Rhobtb2
Brip1	Gabrg3	Ercc5		Msrb3
Lrrc27	Cbr1	Ptpn2		Slc25a37
Sft2d3	Sgcb	Col3a1		Mkx
Slc39a3	Gtf2b	Mrps21		Cdkn1a
Sorbs2os	Abcd2	Dck		Exd2
Crtac1	Sall1	Hace1		Ppp1r1b
Ttc13	Bcas1	Jakmip3		Psmb2
Wdr5	Tfam	Opa3		Arhgap33
Whrn	Nek6	Itih2		Ubxn1
Fads2	Pou2af1	Iqgap2		Mrpl36
Mrps16	Scn4b	Ppp4r4		Polr2g
Ccdc171	Atp9a	Sel1l3		Ugt8a
4930480K15Rik	Snx9	Med12		Zswim8
Dnah1	Sde2	Adarb2		Rhoj
Psmb10	Sin3b	Abcc5		Herc6
Prr18	Scrn3	Slc11a2		Sod3
Bmper	Ndufaf2	Eif4a3		Lrrtm4
Nhp2	Zfp458	Las1l		Dclre1c
Arhgap11a	Sytl5	Rnpc3		Scyl3
Rilpl2	Lrrc32	Sox2ot		Shisa6
Bloc1s3	Sema4f	Rasgrp3		Vwa8
Kbtbd8	Elp5	Arhgap39		Ccdc91
Tsc22d4	Fnip2	Trappc3		Ppip5k2
Gcdh	Zdhhc8	Hspa2		Sipa1l3
Rab32	Sdad1	Npc1		Scrt1
Rspo1	Magee2	Tex9		Rptor
Prr11	Ltv1	Sh2d3c		Npas2
Kcne4	Zkscan2	Fabp5		Smndc1
6330415B21Rik	Tmcc2	Hccs		Nomo1
Abhd11	Plxnb2	Utp14b		Tcf7l1
3110040N11Rik	Inhba	Lrrtm3		Itpr2
Mdm1	Dgka	Tpd52l1		Tbp
Atf6b	Usp19	Mphosph9		Aatk
2810433D01Rik	Dpysl5	Ints6		Kcnb2
Gtf2f2	Tagap1	Gtf2h2		Mien1
Bet1l	Cog7	Slc25a35		Tsg101
Gtf3c5	Gm5089	Ppp2r3c		Med12l
Ggcx	Nmrk1	Uvssa		Stx8
Cotl1	Map1lc3a	Sdr39u1		Socs2
Ppih	Stx3	Kctd12b		Rbm34
Dsg2	Smarcb1	Chuk		Rsrc1
Ttc9b	Pcmtd2	Stx6		Rtca
Aox1	Prmt2	Usp27x		Papolg
Cd300a	Dpy30	Zer1		Mfn1
Trpm6	Tbrg1	Dnajc30		Casp8
Zfp105	Smpd3	Rab3gap1		Ccdc97
Rtl1	Rcn1	Ncbp1		Cox14
Mrpl23	Rftn2	Zswim5		Med16
F8	Gm10033	Itga4		Acot13
Nr6a1	Cspp1	Ctsh		Higd2a
Mrm1	Chchd4	Txndc5		Zzef1
Prdm5	Pcdhb17	Fibp		Lingo2
Zfp459	Nadk2	Isy1		Slc25a24
L3hypdh	Ptch1	Ophn1		Smarcad1
Dnajc16	Zfp12	Nop14		Kcnj10
Polr3d	Ift172	Slain1		Aldh2
Zfp526	Slc25a20	Abcg1		Mrpl27
Galnt7	Arhgap6	Rpl35		Cntn4
Six3	Hdac3	Crtc3		Nsmce2
Trpv2	Fkbp15	Mlip		Ptprb
Pcdhb22	St6galnac5	Zfyve16		Reln
Inpp1	Nbn	Lrp3		Uhrf2
Adamtsl1	Sbf1	Ddit4l		Coro1b
Dmrta1	Nop10	Ift52		Fahd1
Nup210	Gins4	Atp13a5		Zfp131
Wdsub1	2610507I01Rik	Gm17066		Lrfn5
Fstl4	Rmnd5b	Rnf208		Psmd4
B3gat2	Hexb	Slc35e1		Depdc5
Tmem218	Rit1	Ppif		Focad
Zfp61	Gm15910	Gstp1		Cd24a
Tmem129	Dph5	Sv2c		Commd6
Kdm4a	Nipsnap1	Zfp36		Rasa3
Nt5dc1	Malsu1	Slc26a7		Impa1
Nob1	Igf2r	Zfp182		C2cd3
Nudcd2	Sun1	Fam20b		Tfe3
Hmbs	Mcf2l	Dgki		Atp6v0e2
Gh	Zfp157	Als2		Zfp831
Otof	Nsl1	Vezt		Prkdc
Lcp2	Park7	Cobll1		Ndufc2
Pcsk2os1	Tbck	Rad1		Tia1
Bbs10	Tceal6	Mast1		Abhd4
Fndc9	Pcdh11x	Neurl1b		Zkscan16
Prdm10	Rnf113a2	Pde6d		Zfp738
Ssna1	Gnl3	Epha6		Rnf34
Cebpzos	Ccdc43	Cyp2f2		Dcbld2
2310039L15Rik	Fcf1	Igfbp6		Brpf3
Dennd6b	Il17ra	Pttg1		Nmt1
C030013G03Rik	Megf10	Zfp563		Aasdhppt
1700008O03Rik	Sfswap	Ccnt2		Pts
E030030I06Rik	Mapk8ip2	Rnf112		Slc29a3
Col5a2	Sclt1	Gpld1		Bmp3
Tmtc2	Apc2	Zmym6		Grem2
Jmjd6	Gas2l3	Aurkaip1		Nucb2
Tesc	Stat2	Lgals3bp		Ptprm
Rprml	Twist1	4833420G17Rik		Asnsd1
Itga10	Mrps2	Fgf9		Tomm6
Gemin6	Grm7	Zfp280b		Mfhas1
Pcdhga12	Os9	Srrt		BC004004
Tm2d1	Ptchd1	Cdh13		Ndufa8
Zfp764	Plxnd1	Slco1a4		Dcaf10
Trpc6	Gprin1	Prrt1		Bmyc
Polr3h	Cox16	Fras1		Dlg5
Pcdhb19	Xpo5	Zfp748		Cabin1
Vgll4	Ston2	Arhgef18		Pole4
Nagpa	Kctd10	H13		Cetn2
Mgat4c	Katnbl1	Wdr6		Cspg5
Bin3	Hs1bp3	Fam199x		Ssu72
Mvk	Pcdhb16	Dusp22		Gde1
Atp13a1	Rnasel	Vhl		Arhgap18
Chrac1	Cope	Csmd2		Fbxl14
Chsy3	Bud31	Ifi27		Eapp
Gas2	Trub1	Anln		Nup155
Dtwd2	Exosc1	Atad2		Ankrd44
Zkscan6	Slc30a7	Ttc17		Carm1
Sox4	Zbtb16	Lcmt1		Dctn1
Mlst8	Gm14326	Map4k2		Ankle2
Gcnt1	Shank3	Thoc1		Rimbp2
Cnnm4	Commd10	Il13ra1		Rbm8a
Ndc1	Jmjd4	Enoph1		Ptcd3
5031410I06Rik	Emc1	Zfp809		Rwdd1
Polr3gl	Carf	Celsr3		Aqr
Shroom3	Bcan	Grk4		Atad2b
Pole3	Tomm7	Kitl		Srgap1
Icam5	Vegfb	Acot2		Gm5523
Slc24a4	Kmt2b	Tcf7		Col23a1
Smox	Mob3c	Fbxo8		Map3k13
Sh3bp4	Cbx1	Setd6		Ndufa1
Spag1	Ergic2	Slc25a42		Xpa
Adamtsl4	Erbb4	Nsmaf		Yeats4
Bmp1	Fbrsl1	Hadh		Creb3l1
Notch1	Nsun3	Lrch3		Lum
Abcc8	Wdr19	Crem		Tle3
Pank4	Ralgapa2	Bcl10		Fbxo41
Lyplal1	Sf3b4	Apoo		Fbxo38
Tyk2	Tmem151b	Gabrg3		Grik2
Smco1	Snrpa	Cbr1		Rgs9
Nol12	Acyp2	Gtf2b		Becn1
Zfp575	Kdsr	Abcd2		Pgd
1700052K11Rik	Tax1bp3	Bcas1		Ranbp1
Snrpf	Tti2	Gtf2a2		Hint1
Cd320	Gm19757	Ddx21		C1qbp
Sema4g	Ints1	Cep250		Dap
Cd38	Mrpl11	Tfam		Npy1r
Cryz	Sptssb	Nek6		Pkd1
Pdk4	Mrps25	Scn4b		St3gal1
Mrpl24	Bmp2	Klhl4		Zfp362
Slc39a12	Mpp7	Atp9a		Nwd1
Iqck	Praf2	Sde2		Zfp830
Slc36a1os	Sgsm2	Ndufaf2		Micu2
Evi2a	Atg5	Zfp458		Zfp451
Jpx	Tmem44	Tbc1d32		Sdhaf2
Farp2	Slc25a27	Sytl5		Plekha2
Rac2	Sec13	Sema4f		Ppard
Caprin2	Ltbp4	Fnip2		Cluh
Gm14827	Tatdn1	Pigp		Bbs2
Cd209c	Shc2	Sdad1		Akr1e1
L1td1	Cog4	Gnb4		5330434G04Rik
Tnfaip8l1	Sertm1	Ltv1		Hmbox1
Polq	Trpc1	Med7		Mif
Adamts17	Utp20	Zkscan2		Glis2
Samd1	Pml	Tmcc2		Gstt3
Myo7a	Tnnt2	Plxnb2		Ankrd50
Fam184b	Pla2g4e	Inhba		Parp2
Zc3h8	Zdhhc6	Dgka		Klhl23
Ap5z1	Poc1b	Usp19		Olfm2
D17H6S53E	Plekhh1	Dpysl5		Ccdc181
Zfp692	Rpl7l1	Tagap1		Ndnf
Plag1	Cep97	Cog7		Klhl29
Pcsk7	Gfm1	Nmrk1		Wdr17
Fam89b	Ptp4a1	Stx3		Dcc
Ak6	Gnpda1	Smarcb1		Snx25
Myd88	Hpcal1	Pcmtd2		Hgsnat
Grm8	Mtap	Dpy30		Omd
Cytip	Thap11	Tbrg1		Dbnl
Lyrm1	Nosip	Msh6		Mlxip
Pcdhb15	Tbccd1	Snx19		Mrps36
Slc9a5	Nsmce4a	Phc2		Gtf3c3
Snhg8	Pla2g4a	Rftn2		Gkap1
4930431F12Rik	Litaf	Cspp1		Lcorl
Svep1	Pnp	Chchd4		Kpna2
Slc22a15	Lrrc4b	Pcdhb17		Psenen
Pcdhga7	Erlin1	Ccnl1		Arl4c
Znf41-ps	Prkx	Ptch1		Nolc1
Fancl	Dnaja4	Zfp12		Prdx3
Col9a3	Smoc1	Ift172		Zfp869
Cacng5	Sgsm1	Arhgap6		Acyp1
Fars2	Paqr7	Hdac3		Cacna1d
Serpinb6c	Inpp5a	Fkbp15		Cacna2d3
Sycp2	Atr	Pcbp3		Zfp65
Casp7	Eif2b5	St6galnac5		Tmem181b-ps
Gm14393	Chmp1a	Mrpl41		Il33
Tcerg1l	Tmc7	Ppfia3		Magoh
Foxd2	Cep192	Sbf1		Cav2
Tead3	Myo9b	Bach2		Erh
Gm14204	Crip2	Nop10		Gtf2h5
Sumf2	Thtpa	Hrh3		Wdr33
Irf3	Csrp2	Gins4		Nsun2
Zgrf1	Hectd2	2610507I01Rik		Zfhx2
Psmb8	Mta1	Zfp507		Zbtb24
Tyr	Fam118a	Rmnd5b		Eogt
Pex10	Repin1	Ints12		Sra1
Itga8	Tm7sf3	Gm15910		Pde7a
Ift27	Nup93	Pcolce		Zfp937
Nt5dc2	Ppp1r11	Dph5		Inip
Timm10b	Rel	Malsu1		Fbxo42
D130020L05Rik	Fuca2	Igf2r		Spg11
2700046A07Rik	Slc22a2	Sun1		Pcnt
Sdf2l1	Heca	Mcf2l		Car11
Lhpp	Rbm47	Zfp157		Aip
Cpxm2	Nup160	Nsl1		Rab3ip
Rttn	Nucb1	Park7		Alms1
Brms1	Rgs19	Tbck		Mkrn2
2010204K13Rik	Fabp7	Mrpl13		Eif2s3y
Cep78	Tmem181c-ps	Tceal6		Sidt1
Dhx35	Slc6a11	Pcdh11x		Ndufa6
Atp13a4	Dcaf17	Rnf113a2		Tapt1
Tsfm	Lacc1	Mrpl4		Spred3
Siva1	Setdb1	Ccdc43		Smpd4
A930017M01Rik	Vmn1r58	Fcf1		Uggt1
Hrh1	2810004N23Rik	Vac14		2410004B18Rik
Spc24	Rab35	Il17ra		Tnrc18
4930519F09Rik	Adra1a	Megf10		Mcts1
Ryr1	Lrrc75b	Sfswap		Tceal3
Zw10	Intu	Mapk8ip2		Ext2
Tmem143	Plrg1	Sclt1		Dimt1
Sipa1	Lemd3	Wdr35		Ufc1
Gadd45gip1	Nup133	Apc2		Gps1
Zfp804b	Gtf2e2	Gas2l3		Ap3b2
Clasrp	Vps8	Stat2		Pik3c2b
Slc29a1	Chrna4	Mrps2		Igfbp4
Pvr	Ggct	Grm7		Ercc6l2
Fam20a	Lrrc55	Os9		Ndufs6
Capg	Igsf3	Tdrd7		Ifitm1
Cstad	Lyrm7	Ahdc1		Cnpy2
Sfmbt2	Mrpl9	Plxnd1		Igdcc4
Apba3	Slfn5	Gprin1		Auh
Scarb1	Mcm3ap	Xpo5		Vps25
Zfp354b	Snx15	Kctd10		Lrrc61
Ddx28	Snrpe	Katnbl1		Ndufv3
Zfp963	Dbn1	Hs1bp3		Rara
4930579G24Rik	Rpap3	Pcdhb16		Bloc1s1
Tatdn3	Ccdc39	Cope		Zfp866
E530011L22Rik	Mief1	Bud31		Pik3r4
Prkd1	Eed	Ddx52		Tnk2
Tars2	Hnrnph3	Commd7		Chchd3
2700054A10Rik	9430021M05Rik	Trub1		Tob2
Sfxn2	Xpnpep1	Exosc1		Map3k5
E4f1	A830082N09Rik	Slc30a7		Tnr
Foxd2os	Slc35e3	Ndufb8		Uty
Rhno1	G2e3	Zfp703		Rcor1
Pdgfc	Pes1	Zbtb16		Dnajc1
Lgr5	Rab1b	Mea1		Anapc13
Cntn5	Rbm12b2	Gm14326		Ank1
Gldc	Fosb	Shank3		Sptlc2
Tmem258	Dcakd	Commd10		Ino80
Vipr1	Ybey	Scfd1		Spg21
Zfp951	Maged2	Emc1		Megf8
Esyt3	Igfn1	Carf		Traf3
Pcdhgb5	Tmem87a	Bcan		Zfp961
Gls2	Yipf3	Tomm7		Nbas
1110038B12Rik	Klhl18	Vegfb		Zbtb6
P4ha3	Hsd17b10	Txn2		Macrod2
Tmem45b	Mrpl48	Kmt2b		Psmd8
P2ry13	Hcfc1r1	Mob3c		Edrf1
Fgf18	Tbce	Chd7		Pyurf
Pdzrn4	Hhip	Lrrtm1		Lmbr1
Arsa	Fam124a	Uqcr11		Zfp955a
Catip	Galnt16	Ergic2		Ppdpf
Epha10	Lmo2	Erbb4		H2-T24
Prkch	Tmem69	Ndufa3		Svip
Ammecr1	Lin37	Nsun3		Neat1
AU022252	Slco2a1	Wdr19		Map6d1
4930519G04Rik	Ccnl2	Pin4		Tmem8b
Nsun7	Rnh1	Herc4		Per2
Ppcs	Agk	Ralgapa2		Uggt2
Gm14057	Tubgcp3	Nck2		Psmb5
Mreg	Eid2b	Lipa		Ndufs7
Gpr101	Susd4	Snrpa		Nvl
Zfp653	Mmab	Polr1a		Commd3
Nop16	Gm5069	Acyp2		Slc44a2
C1qb	Ndst3	Usp36		Pou6f1
Slc24a5	Banf1	Tax1bp3		Bbs9
Srsf4	Ddx55	Pigs		Thada
Hspa1l	Mybbp1a	Gm19757		Bag3
Ggta1	Nkain1	Ostc		A730017L22Rik
Acbd4	Cpne2	Mmachc		Hnrnpa1
Ttll4	Mbd3	Ints1		Urod
Akr7a5	Cuedc2	Sptssb		Dpy19l3
Pcdhga6	Irgm1	Mrps25		Cisd1
Gm20337	Cdc14b	Praf2		Rasa2
Ebpl	Cpm	Rogdi		Elfn2
Setmar	Ttc21b	Sgsm2		Lrrk1
Syndig1l	Coa3	Atg5		Lrig2
4833422C13Rik	Rpgr	Tmem44		Cdc37
Chek2	Sord	Acsbg1		Fkbp8
Ifi27l2a	Tubg1	Tbc1d10b		Vamp8
Galnt14	Polr2e	Slc25a27		Klhl22
Saysd1	A330023F24Rik	Sec13		Sp100
Cenpp	Hagh	Ltbp4		Utp15
Syt10	Pqbp1	Tatdn1		Nae1
Gdpd2	Cnot11	Shc2		Abca1
Zkscan4	Psmd3	Trpc1		Trmt112
Hexim2	Atp8b2	Usp40		Lrrc49
Gstm6	Gart	Utp20		Col6a1
Pkp2	Rnf144b	Pml		Gbp6
Apobec3	Lgals9	Dennd1b		Sox6
Dnm3os	2210408I21Rik	Tnnt2		Narf
Pcdhb9	Cnot10	Pla2g4e		Bach1
Cenpq	Cry1	Plekhh1		Dsel
Nkx2-1	Psmd9	Cep97		Ddx18
Tango6	Enpp4	Gfm1		Snrpg
Snrnp25	Gstm7	Ptp4a1		Mrpl51
Chpf2	Gm10389	Gnpda1		Gm6682
Gsap	Gfra4	Hpcal1		Jph3
Myl4	Slc2a12	Thap11		Agrn
1700028K03Rik	Ralb	Pbdc1		Hspb1
B230216N24Rik	Zpr1	Nosip		Bcl2l11
Palm3	Etfb	Pla2g4a		Dnaja3
Polrmt	Cndp2	Litaf		Pdk3
1700034H15Rik	Zfp40	Tomm5		Asf1a
Muc15	Eef2k	Uprt		Kcnj9
Plxna3	Chga	Dnaja4		Gm5124
Prkag3	Slco1c1	Shisa4		Josd1
Dkkl1	E2f5	Pex1		Tec
Robo3	Hspb6	Smoc1		Rarb
4930447C04Rik	Rrm1	Atr		Stat6
Tacc3	Emp2	Hip1		Ica1l
Actn2	Xkr4	Chmp1a		Nxn
Smok4a	Clybl	Tmc7		Phka2
Gm10471	Mknk1	Sipa1l2		Daam2
Pcdhga2	Phka1	Myo9b		Ptpn2
Pdss1	Plekha8	Myo1e		Mnt
Gm16386	Amy1	Crip2		Nip7
Plcd4	Eml6	Zfp160		Snd1
Slco5a1	Zfp746	Csrp2		Hsd17b11
Rdh1	Ikbkb	Hectd2		Col3a1
Hfm1	Fig4	Mta1		Slc25a25
Hes6	Capn6	Repin1		Mrps21
Tmem115	Eif3k	Tm7sf3		Dck
Rgl2	Zcchc12	Nup93		Hace1
Gpr162	Bckdk	Ppp1r11		Jakmip3
Urm1	Asxl3	Slc22a2		1500004A13Rik
Gm9159	Rnf217	Heca		Myof
Thpo	Hint3	Gm12338		Opa3
Gpr157	Fam53b	Rgs19		Dad1
Chrnb1	Vcan	Fabp7		Suds3
Xkrx	Podxl	Tmem181c-ps		Itih2
A330032B11Rik	Leng1	Rbm43		Sf3b6
Vwf	Ccdc141	Smc2		Ctso
Lipt2	Cpne9	Dcaf17		Tnfaip8
Clgn	Arl16	Lacc1		Iqgap2
Lrrc39	Ptges	Trim3		Ppp4r4
Ntmt1	Nr4a3	Setdb1		Sel1l3
Hmg20b	Zfp1	Vmn1r58		Med12
Timeless	Alkbh1	2810004N23Rik		Adarb2
Rrp36	Lpl	Rab35		Abcc5
Pcdhb3	Arhgef28	Adra1a		Slc11a2
Cybrd1	Ahr	Lrrc75b		Eif4a3
Irs4	Fbl	Intu		Las1l
Nphs1	Mme	Lemd3		Rnpc3
Chrd	Rela	Nup133		Sox2ot
Ccne2	Pcdhb18	Gtf2e2		Rasgrp3
Coro6	Mapkapk2	Zfp398		Arhgap39
Phex	Zfyve27	Vps8		Trappc3
Trmu	Ncapd3	Chrna4		Hspa2
Chrm2	Gcnt4	Ggct		Npc1
Nphp4	Mgat5	Lrrc55		Tex9
Dhodh	Ccdc88c	Gm1976		Sh2d3c
Slc26a11	Bdnf	Trap1		Fabp5
Dnah7a	Zscan12	Igsf3		Hccs
Pcyox1l	Parp3	Lyrm7		Utp14b
Hgf	Lrch1	Mrpl9		Aldh7a1
Dach1	Pstk	Slfn5		Lrrtm3
Gm15645	Med24	Mcm3ap		Tpd52l1
Cdc42ep2	Plekhg5	Snx15		Mphosph9
Ceacam20	Cinp	Snrpe		Tyro3
Klhl3	Klf15	Dbn1		Ints6
Lmcd1	Stoml2	Zfp414		Gtf2h2
Coa4	Nrbf2	Rpap3		Slc25a35
Myh3	Mrpl1	Ccdc39		Ppp2r3c
Adamts6	Mrps6	Babam1		Uvssa
Kcnh4	Abracl	Vps16		Sdr39u1
Zfp429	H2-T23	Nfu1		Kctd12b
Hmces	Hepacam	G2e3		Chuk
Gm14391	Nfrkb	Rab1b		Stx6
Dgat1	Hunk	Pef1		Usp27x
Lurap1	Snrpa1	Gpd1		Kif16b
Nkain3	Glt8d1	Sstr4		Papss1
Ret	Pigr	Ehmt1		Dnajc30
Gm10220	Sik1	Rbm12b2		Rab3gap1
Fbxw17	Rbm42	Dcakd		Ncbp1
Dcbld1	Smug1	Ybey		Zc3h6
Plcd1	Cyth2	Maged2		Spty2d1
Ccna2	Mrps23	Igfn1		Hltf
Ctla2a	Fli1	Pisd		Zswim5
Kif26b	Abi3bp	Znrf2		Itga4
Tnnc1	Aen	Tmem87a		Ctsh
Gm12709	Mrps15	Adsl		Txndc5
Ptprc	Serpinh1	Psmb3		Fibp
Enpep	Snf8	Yipf3		Isy1
Ttll3	Mrpl21	Klhl18		Bivm
B430319G15Rik	Ift88	Hsd17b10		Mfap3
Barx2	Me3	Mrpl48		Ophn1
Gamt	Cdkl4	Hcfc1r1		Rad23a
C920021L13Rik	Stxbp2	Polr3b		Slain1
Isoc2a	Wipi1	Plxnb1		Abcg1
Fam169b	Sned1	Tbce		Rpl35
Rps4l	Hap1	Cyb561		Mlip
E2f1	Rnf141	Hhip		Zfyve16
Mpg	Rab13	Fam124a		Lrp3
Spag5	Tmem209	Galnt16		Prpf18
Rhox8	Igf2bp3	Myo1d		Ddit4l
Slc35f6	Lyar	Arpc3		Sgta
Usp35	Ccdc71	Rbmx2		Ift52
Alkbh7	Kxd1	Wiz		Atp13a5
AY512931	Fkbp1b	Tmem69		Ankrd49
Zgpat	Krt12	Lin37		Gm17066
1700110I01Rik	Adam15	Slco2a1		Rnf208
Msi1	Nim1k	Pdgfrb		Slc35e1
Kcnk3	Siah2	Ccnl2		Ppif
F2rl2	Prkag1	Agk		Kdm5d
Pcsk2os2	Amer1	Tubgcp3		Gabra2
1700063D05Rik	Atp13a2	Eid2b		Gstp1
Itih3	Lsm2	Mmab		Sv2c
Gabrq	Sorcs3	Gm5069		Zfp36
Tmem141	Lrrc20	Smg8		Pcdh15
