TRP.Sh.Gh	TRP.Norm.Sh	TRP.Anx.Sh	TRP.Norm.Anx	TRP.Flx.Sh
Pi4ka	Myh10	Arhgap5	Ets2	Sqstm1
Cnot1	Usp34	Nap1l1	Trib1	Nfat5
Ahcyl2	A630089N07Rik	Gabrb3	Arl2bp	Arpp21
Arid1a	Rhoa	Syne1	Arhgap12	Tnrc6b
Hpca	Cfl1	Pcm1	Mrpl16	Eif5
Dynll1	Nbea	Ppp3cb	5031439G07Rik	Nefl
Ryr2	Rap1gds1	Hnrnpu	Zmat4	Dpysl2
Stox2	Dzank1	Polr2m	Smarca1	Plp1
Nhsl2	Capzb	Cadps	Dym	AI593442
Gabarapl1	Rb1cc1	Clic4	Stat3	Scoc
Chd9	Tanc2	Braf	Coq10b	Pitpna
Ppm1e	Ik	Tax1bp1	Scn1b	Sumo2
Kcnb1	Golph3	Gria3	Senp5	Cdc42
Phc3	Akap11	Stxbp5l	Slc35f3	Prrc2b
Tcea1	Caprin1	Sdha	Palmd	Calm3
Anp32e	Kif21a	Dmxl2	Ampd3	Dkk3
Gpatch8	Akap12	Shoc2	Acp2	Arhgap5
Epm2aip1	Gpm6b	Nnat	Slc25a16	Nap1l1
Prickle2	Hdlbp	Dnm3	Lsm14b	Gabrb3
Gng3	Akap9	Myh10	Per1	Syne1
Arnt2	Lancl2	Usp34	Prpf6	Pcm1
Fzd3	Psap	A630089N07Rik	Fez1	Paics
Eid1	Arpc2	Rhoa	Zfp46	Hnrnpa2b1
Prnp	Kmt2a	Cfl1	Synm	Hnrnpu
Fbxl17	Aplp2	Nbea	Ints4	Polr2m
Dmd	Myo9a	Rap1gds1	Kcnab3	Cadps
Nipbl	Ppp2ca	Dzank1	Cluap1	Clic4
Zranb2	Stmn1	Capzb	Tenm1	Braf
Ppargc1a	Sbno1	Tanc2	Cdh8	Tax1bp1
Zhx1	Cplx1	Golph3	Soat1	Gria3
Birc6	Unc80	Akap11	Setd1b	Stxbp5l
Dock3	Kcnq1ot1	Tspan13	Nrip3	Luc7l3
Gng2	Rps6	Caprin1	Tmem9b	Pkp4
Rad23b	Enah	Kif21a	Fam216a	Sdha
Dgkb	Ncan	Akap12	Dnajb2	Dmxl2
Gm17644	Ntrk2	Rab10	Ppp1r15b	Shoc2
Pgk1	Dnajb4	Gpm6b	Flii	Nnat
Rnf7	Dynlrb1	Hdlbp	Fem1c	Dnm3
Ano3	Atp6v1b2	Akap9	Rbm34	Myh10
Dnajb6	Rora	Lancl2	Filip1l	Usp34
Nrep	Rasgrf1	Psap	Kdm5c	A630089N07Rik
Xpr1	Dek	Arpc2	Aldh2	Rhoa
Atrn	Rnf14	Kmt2a	Chn2	Cfl1
Etl4	Map2	Morf4l1	Zfp131	Nbea
Iqsec1	Spag9	Prg4	Slc7a1	Rap1gds1
Ndfip1	Ptprd	Sod2	Frmd4b	Dzank1
Wdfy3	Bptf	Myo9a	Kcnf1	Capzb
Zfp488	Tnks2	Reep5	Phf6	Rb1cc1
Ncam1	Ube2r2	Ppp2ca	Abhd17c	Tanc2
Pip4k2a	Gabrb2	Stmn1	Zfp839	Ik
Mga	Atp6v1d	Sbno1	Xk	Golph3
Serp1	Bzw1	Cplx1	Rbm12	Akap11
Slc12a5	Kidins220	Unc80	Spock3	Tspan13
St8sia3	Arf1	Kcnq1ot1	Ptgfrn	Caprin1
Ralgapa1	Ppp4r2	Setd5	Slc2a3	Kif21a
Ubr5	Cacna1e	Tcf25	Kcnc3	Akap12
Slc4a4	Hspa12a	Enah	Tle3	Rab10
Stmn2	Fry	Ntrk2	Zcchc17	Gpm6b
Mapre1	Thbd	Dnajb4	Pxn	Hdlbp
Cdc27	Hspd1	Dynlrb1	Ajap1	Akap9
Map1lc3b	Add3	Atp6v1b2	Bhlhe22	Lancl2
Smg1	Prpf8	Rora	Olfm2	Psap
Mllt11	Jmjd1c	Rasgrf1	Ccdc181	Arpc2
Rpl10	Kmt2c	Rnf14	Dcc	Kmt2a
Dhx9	Nsd1	Slc39a10	Vbp1	Morf4l1
Myl12b	Slc6a17	Map2	Fezf2	Prg4
Nrcam	Pebp1	Spag9	Mphosph10	Aplp2
Ppfia2	Dstn	Ptprd	Erh	Myo9a
Bag1	Cct6a	Bptf	Clk2	Reep5
Akr1a1	Cycs	Pafah1b2	Tgfa	Ppp2ca
Pnisr	Bnip3l	Aplp1	Fbxo42	Stmn1
Trio	Enpp2	Cbx3	Car11	Sbno1
Arfgef1	Gabra1	Tnks2	Nt5c3	Cplx1
Adam22	Cpeb4	Ube2r2	Blcap	Unc80
Ogt	Opcml	Gabrb2	Tceal3	Kcnq1ot1
Rpl6	Ncdn	Atp6v1d	Ext2	Setd5
Cfl2	Pcdh7	Camk1d	Cacnb1	Tcf25
Stk39	Dlat	Rtf1	Paqr8	Enah
Nfasc	Gpr158	Bzw1	Taf15	Ncan
Phlda1	Arhgap21	Kidins220	Adhfe1	Ntrk2
Plxna2	Prkca	Arf1	Neat1	Ncoa2
Pfn2	Akap6	Ppp4r2	Nnt	Dnajb4
Ranbp2	Rpl3	Cacna1e	Sh3rf1	Dynlrb1
Cacna2d1	Pkm	Hspa12a	Ercc5	Atp6v1b2
Ran	Pum2	Fry	Mnt	Rora
Cand1	Ylpm1	Enc1	Slc25a25	Rasgrf1
D430041D05Rik	Zmym2	Sf3b1	Nr4a1	Dek
Trim33	Lrrc7	Thbd	Tada3	Rnf14
Slc6a1	Herc1	Hspd1	Blmh	Map2
Ewsr1	Anxa5	Maged1	Sox2ot	Spag9
Smap2	Nf1	Prpf8	Aldh7a1	Ptprd
Kcna1	Tulp4	Jmjd1c	Nop14	Bptf
Zfp664	Ep300	Kmt2c	Cbx7	Pafah1b2
Snca	Top2b	Nsd1	Cers5	Cbx3
6330403K07Rik	Lrrc4c	Mgp	Ppp1r3b	Tnks2
Ypel5	Fat3	Slc6a17	Efnb3	Ube2r2
Herc3	Nrxn3	Pebp1	Tiparp	Scd2
R3hdm4	Gdi2	Dstn	Gpr137c	Gabrb2
Pea15a	Ak3	Cct6a	Crem	Foxc1
Atp8a1	Gucy1a2	Cycs	Fign	Atp6v1d
Clip1	Hp1bp3	Bnip3l	Cep250	Rtf1
Ccdc82	Osbpl1a	Enpp2	Tmem29	Bzw1
Ttyh1	Son	Gabra1	Adk	Kidins220
Ube2b	Astn1	Cpeb4	Sde2	Arf1
Rsf1	Pi4ka	Ncdn	Gnb4	Ppp4r2
Gad1	Oat	Dlat	Thumpd3	Cacna1e
Zfp292	Cnot1	Smc3	Smpd3	Hspa12a
Ctxn1	Ahcyl2	Arhgap21	Ptprf	Fry
Arhgap26	Arid1a	Prkca	Cyp46a1	Hnrnpd
Anp32a	Ube2k	Slk	Bach2	Enc1
Chl1	Hpca	Akap6	Kctd10	Thbd
Fryl	Camk2b	Pkm	Zfp703	Hspd1
