XFTU	XFRC	XFNC	XFRN
Hes1	Ctnnd2		Armcx3
Ift81	2310067B10Rik		Unc45a
Ubxn7	Prkaa2		Kdm6a
Fancm	Gm13308		Hs3st4
2900052N01Rik	Sfpq		Gad2
Lemd1	Slc36a1		Ppfibp1
Cacfd1	Peg3		Ptgs1
Phtf1	AW112010		Fbxl17
4430402I18Rik	G6pdx		B130034C11Rik
Tgfb1i1	Chga		Faim
Ankrd16	Prorsd1		U2af1l4
Abhd8	Otof		Adora1
Ppm1h	Cacna2d3		Cep131
Nfat5	Zfyve28		Lipo1
Fzd4	D930015E06Rik		Armc9
Ubtd1	Arpc5		Cryz
Fndc3a	Cnr1		Inhbb
Mrps6	Dyrk2		Armc5
Chordc1	Ppt1		Epha6
2010107G23Rik	Napa		Aldoa
Tspan4	Efnb3		Mkx
Ndrg1	Zfp281		Nell2
Pphln1	Hspa12a		Kif7
Grik2	Capn3		Lrp8
Strip2	Msc		Irf2bp2
Esrrg	Rnf165		Prkab2
Wipf3	Ccl27a		D6Wsu163e
Cyb561	Sox17		4833439L19Rik
Srsf9	Slc20a1		Smyd4
Sccpdh	Pls3		Dctpp1
Bag1	Neurl1b		Tsc2
Proser2	Ercc5		Scn7a
Vasn	Snx7		Lgi1
Gtdc1	Cables1		Kras
Tyro3	Car7		Chst11
Spred2	Sh3rf1		Myh10
Nes	Actr10		Tmem189
Vav2	Gad2		Nckap5
Col19a1	Ing2		Zcchc9
Creb1	Rftn1		Ncald
Uhrf1bp1l	Chst11		B9d2
Svop	Tmem192		Msantd2
Wisp1	Pllp		Foxl2
Srrm4os	Dap		Slit2
Glis3	Wfdc18		Etv5
Grm2	Ociad2		Gm12371
Usp3	Cdipt		Col4a2
Rfx3	Pnkp		Serp1
Atp8a2	Mtmr4		Ssr2
Tspan31	Kif17		Ppargc1b
Etl4	Eya4		Sars
Bex1	Zfp275		Slc41a2
Eri2	Fbxo7		Hsph1
D930015E06Rik	Sqrdl		Exoc6
Rasgef1c	Afap1l1		Cers2
Flrt2	Ly6g6e		Tmem141
Synj2	Dgkb		Cd52
Cobll1	Dpysl4		Sncb
