RemVsCurr	RemVsCon	CurrVsCon	TreatControl
		AC092653.5	OR7A5
		USHBP1	C11orf94
		CLSPN	ANKRD1
		PLLP	BASP1
		HK3	FOXO3
		DUSP15	PIP4K2C
		S100A12	WDFY2
		TEN1	ARMC9
		CDC42EP2	TMEM101
		HEPN1	C1orf192
		CDH20	C10orf91
		OPN4	SHROOM1
		SERPINC1	CD14
		ERCC6L	CCDC170
		PCDHGA5	QPCTL
		C17orf53	LRG1
		HES4	ANO10
		SULT6B1	RP11-184A2.3
		FAM129A	TRPC4
		TMEM164	MED7
		KRTAP8-1	FAT2
		CR392000.1	MANBAL
		FGR	NEU4
		KCNRG	MYL7
		C2CD2L	C1orf115
		CCDC157	C5
		ASPRV1	MYO16
		MT1E	SLC25A48
		BAHCC1	SLC27A2
		HSP90AA5P	ART4
		CDH2	PIM3
		CATSPER2	KCNJ2
		FAM214B	DNAL1
		SULT1B1	TAS2R13
		TPRN	CC2D2A
		ANKRD49	AATK
		CHRNA4	C19orf59
		TACR1	LINC00303
		FAM100A	OR6K2
		OR51M1	KIAA0825
		PLA2G4C	ANKRD34A
		IL34	CYP2A13
		ITGAM	OR5K3
		SPACA4	IQSEC2
		FXYD4	OR2W5
		TRIM25	OR10A2
		PRKCD	SPINK14
		RP11-271M1.2	RAX2
		DPYS	TBC1D2
		TMEM202	CDH4
		NTSR1	C11orf42
		TREH	GALNT8
		SURF6	IL1B
		FAM186B	C12orf54
		SERPINA9	HS3ST4
		CHD8	PLCXD2
		ELFN1	LINC00319
		C16orf86	ZNF555
		CFTR	GPR77
		LINC00656	COL7A1
		IGSF6	RP11-110G21.1
		KHDC1L	RALBP1
		ZSCAN4	HK2
		CHAF1B	PIPOX
		MBD6	FAM5C
		ZNF843	RP11-797H7.5
		HSPA6	C3orf27
		MLF2	RP11-10A14.4
		POU3F2	RCOR2
		MS4A12	FNDC4
		CCDC64B	SLC24A4
		CPLX3	RP11-488C13.5
		LINC00085	OR4N4
		GSN	RNF130
		FOXN4	SNORA47
		MFSD10	OR2B3
		ADAMTS4	EVI2B
		OR51A7	SOHLH1
		CR1	PLA2G3
		SYNGR4	FRMD5
		NCR1	TRAPPC9
		KRTAP19-6	FOXE3
		POU3F4	OR9I1
		CCDC124	ZMAT4
		TCEAL7	TMEM52
		PCDHGC3	OTOR
		RP11-701P16.1	CNTN6
		PROK2	NRBF2
		IQCF6	MAML3
		XKR7	TNRC18
		CNTNAP4	PFN3
		GPR1	PEX11G
		SIRPA	PRR22
		LRRC45	HIST1H2BE
		FPR1	CRB2
		SIM1	PNPLA3
		GADD45A	KRT36
		CEP170	NTNG2
		CILP2	KCNJ15
		AC093063.1	PADI4
		DSPP	CTXN1
		RNF133	GCNT7
		LINGO3	EP300
		MDFI	AVPR2
		RP11-702L6.4	ATOH8
		OR2J2	OR5AU1
		VWA5B2	MAGEL2
		OR9G1	PYGL
		LRRN1	C7orf33
		BOC	RUFY4
		WDR63	OR2W1
		SSH2	C2orf53
		MEFV	CKAP4
		THRSP	LL22NC03-86G7.1
		MSH4	DEFA6
		COQ3	S100A8
		OR52K2	MRGPRX4
		KLK14	ARID3A
		GGNBP1	C16orf7
		DBX2	TAAR6
		CLASRP	SFN
		ATP13A1	FAR2
		FKBPL	KDM6B
		TMEM91	HLX
		FFAR2	GPR156
		KRTAP25-1	LHX9
		FER1L6	OR52K1
		CLECL1	MMP9
		MEGF6	CRYBB1
		A2LD1	LCN15
		FOXI3	NCF4
		THBD	CRHR1
		CBL	AMICA1
		EMID1	EHBP1L1
		LHB	VWA2
		RP11-299H22.3	RNF151
		AQP8	IQCF5
		ZNF787	RAB3D
		RPL13P5	MESP2
		KCTD13	CCDC155
		WNT2	PLEKHO2
		PRM2	CRYBA2
		OR6C75	C10orf131
		CDK11A	ZBTB22
		CAMP	RNF19B
		OR1L3	PRAM1
		KRT84	FCN3
		VN1R1	AKR1CL1
		HSPA1A	LIN7A
		TAAR8	SLPI
		RTN3	KAAG1
		S100A9	FGF3
		ZFAND3	IL17RA
		AC004870.3	DYSF
		LEMD1	MOS
		DNAH10	PGLYRP1
		C19orf69	PI3
		PLIN5	DNAJB8
		P2RY2	C22orf46
		C11orf16	PCDHGB7
		OR6N1	LRRC4
		NCF2	HOXD11
		CDX2	RP11-23F23.2
		UNC5CL	SIGLEC5
		TTTY12	CCDC116
		RAB24	ANXA9
		OR7A5	
		C11orf94	
		SLC26A8	
		ANKRD1	
		BASP1	
		FOXO3	
		PIP4K2C	
		WDFY2	
		ARMC9	
		PPP1R3G	
		TMEM101	
		C1orf192	
		C10orf91	
		SHROOM1	
		CD14	
		CCDC170	
		QPCTL	
		LRG1	
		ANO10	
		RP11-184A2.3	
		TRPC4	
		MED7	
		FAT2	
		MANBAL	
		NEU4	
		MYL7	
		C1orf115	
		C5	
		MYO16	
		SLC25A48	
		SLC27A2	
		ART4	
		PIM3	
		AC091878.1	
		KCNJ2	
		DNAL1	
		TAS2R13	
		CC2D2A	
		AATK	
		C19orf59	
		LINC00303	
		OR6K2	
		KIAA0825	
		ANKRD34A	
		CYP2A13	
		OR5K3	
		IQSEC2	
		OR2W5	
		OR10A2	
		SPINK14	
		RAX2	
		TBC1D2	
		PRR14	
		CDH4	
		DEFB125	
		C11orf42	
		GALNT8	
		IL1B	
		C12orf54	
		HS3ST4	
		PLCXD2	
		LINC00319	
		ZNF555	
		GPR77	
		COL7A1	
		RP11-110G21.1	
		RALBP1	
		HK2	
		PIPOX	
		FAM5C	
		RP11-797H7.5	
		C3orf27	
		RP11-10A14.4	
		RCOR2	
		FNDC4	
		SLC24A4	
		RP11-488C13.5	
		OR4N4	
		RNF130	
		SNORA47	
		OR2B3	
		EVI2B	
		SOHLH1	
		PLA2G3	
		FRMD5	
		OR8S1	
		TRAPPC9	
		FOXE3	
		OR9I1	
		ZMAT4	
		TMEM52	
		OTOR	
		CNTN6	
		NRBF2	
		MAML3	
		TNRC18	
		PFN3	
		PEX11G	
		PRR22	
		HIST1H2BE	
		CRB2	
		PNPLA3	
		KRT36	
		NTNG2	
		KCNJ15	
		PADI4	
		CTXN1	
		GCNT7	
		EP300	
		AVPR2	
		ATOH8	
		OR5AU1	
		MAGEL2	
		PYGL	
		C7orf33	
		RUFY4	
		OR2W1	
		C2orf53	
		CKAP4	
		LL22NC03-86G7.1	
		DEFA6	
		S100A8	
		MRGPRX4	
		ARID3A	
		C16orf7	
		TAAR6	
		SFN	
		FAR2	
		KDM6B	
		HLX	
		GPR156	
		LHX9	
		OR52K1	
		MMP9	
		CRYBB1	
		LCN15	
		NCF4	
		CRHR1	
		AMICA1	
		EHBP1L1	
		VWA2	
		RNF151	
		IQCF5	
		RAB3D	
		MESP2	
		CCDC155	
		PLEKHO2	
		CRYBA2	
		C10orf131	
		ZBTB22	
		RNF19B	
		PRAM1	
		FCN3	
		AKR1CL1	
		LIN7A	
		SLPI	
		KAAG1	
		FGF3	
		IL17RA	
		DYSF	
		MOS	
		PGLYRP1	
		PI3	
		DNAJB8	
		C22orf46	
		PCDHGB7	
		LRRC4	
		HOXD11	
		RP11-23F23.2	
		SIGLEC5	
		CCDC116	
		ANXA9	
