DFTU	DFRC	DFNC	DFRN
BRWD1	ILDR1	EIF4EBP1	LOC100506114
H1FX	LOC100289627	CNTNAP1	KCTD12
P06788	O3FAR1	NUCB1	TTLL5
GOLGA6C	XLOC_006852	LOC153577	ADAM32
TAF3	AIF1L	MED25	FLJ45983
LLPH	XLOC_005587	GAS7	GIF
XLOC_l2_000010	LOC203274	XLOC_014251	TRAF3IP3
BCL2L1	IKBKB	FLJ40606	CFB
BTBD2	ANKRD20A9P	PNPLA6	RNF130
CCDC41	TTC18	SPRR2D	FXYD7
EMP3	RNF186	KRT7	CCR5
PDLIM1	HERC2P4	CA5BP1	ATP1A1OS
HAGHL	HNF4A	LOC100132111	ZNF155
SIRT2	XLOC_005782	FLJ44674	RHBDD3
MAF1	FLJ42627	PCDHA5	TMED10
CST3	XLOC_009448	LOC100506499	RPL23
GOLIM4	PAR-SN	MAD1L1	XLOC_007824
ELK1	XLOC_009206	SLC19A2	ZNF557
XLOC_l2_015842	USP29	PAIP2B	PILRB
LOC100506437	RBPMS	ESF1	LOC100507096
LOC285401	XLOC_009070	CCDC75	XLOC_013163
XLOC_004847	LOC727677	ATP13A3	XLOC_l2_011656
XLOC_l2_007835	RIN1	RPL23AP32	ZFYVE9
TRAIP	GUCY1B2	LOC100130357	FAM160B1
FXYD5	MYH3	TSPAN14	LEPROTL1
AIP	XLOC_013475	PLAG1	SLC26A1
ACACA	XLOC_010007	PVT1	C5orf15
ZNF673	ARHGAP24	LOC100131878	SH3BP4
STAT3	THAP2	OCM2	LOC100131820
XLOC_007910	CLEC18B	LOC100505875	XLOC_008475
TNFRSF18	GPR149	ARHGAP31	SNHG13
C20orf103	LOC100507128	ZCCHC2	SUSD2
MICALL1	FAM175A	ANAPC2	KIAA0415
ENG	XLOC_l2_001091	UBAP2L	CLASRP
OXCT2	LOC399753	ARL6IP5	NAA35
MGC27345	MUM1	UTF1	WDR59
AGBL5	XLOC_005544	IQGAP2	XLOC_008260
PCK2	C8orf60	ANKRD26P3	SLC26A2
NOP56	XLOC_001002	MED13L	XLOC_l2_001591
LPAR5	TRH	XLOC_005647	ZNF444
TET2	XLOC_l2_008140	MS4A6A	HEATR5A
PPM1M	CCDC33	FAM127B	GLDC
XLOC_l2_008689	AGAP11	XLOC_006852	XLOC_004231
WDR54	XLOC_005675	C15orf63	IMMP1L
XLOC_l2_008151	LOC646626	GPR137	ALDH6A1
CCRN4L	LOC100130589	MAP4K1	XLOC_l2_010013
MAPK3	CCRN4L	CDH22	ATF1
PMEL	XLOC_l2_004556	PDGFB	XLOC_007605
XLOC_004577	AGAP7	MARCKSL1	EMILIN2
UBE2M	XLOC_l2_013594	RPTOR	WSCD1
HSP90AB6P	LOC100507918	VWA1	C10orf71
FBXO11	ARC	MLEC	SCAI
ZYX	XLOC_003243	USP1	CENPW
XLOC_013220	ZGLP1	KIAA1549	CCDC91
SLC1A5	XLOC_006979	FBXO44	FAM75A3
HS1BP3	BAGE	MT3	XLOC_005647
EXT1	GOLGA6C	TWF1	RHOJ
XLOC_002217	XLOC_007197	XLOC_006814	IZUMO2
ACY1	XLOC_l2_004867	CTAGE15P	FLJ37201
DNAJC17	GLYAT	LZTFL1	FAM104A
SLC15A4	XLOC_l2_015529	GTF2A2	LMOD3
RRP7A	XLOC_003613	RLN2	XLOC_011865
TTC3P1	LOC100505727	SHKBP1	RB1
LOC100508120	ZSCAN18	SPRNP1	NUDT9
LRP2	MGC34800	CLPTM1	GRIN3B
LOC100507062	XLOC_l2_002171	NACC1	ID3
CCL22	SPERT	SPHAR	MSH5
PRRC2A	KCNK12	XLOC_011507	PPP2R3B-AS1
TIMP1	XLOC_009417	TREX1	APOB
XLOC_l2_000720	XLOC_000918	IRGC	C1orf129
MGC12488	FHAD1	FLJ33630	LOC150935
HHLA3	XLOC_011567	GPR108	TEX12
RTN2	TTC3P1	FAM131C	XLOC_l2_012614
MYH14	XLOC_004962	XLOC_011645	TELO2
SNORD56	PTPRB	XLOC_001070	COX5A
