SFTU	SFRC	SFNC	SFRN
Dscam	Spock3	Vash2	1110012L19Rik
Pgm5	Cnrip1	Rin2	Rnf169
Tmem50a	Penk	Slc35f3	Edc3
Pdzrn4	Cd83	Entpd3	Rcl1
Serpinf1	Kif21b	Dok7	Aagab
Mtss1	Oit3	Pds5b	Cubn
Wsb2	Slc7a14	Rassf2	Rpl7
Ephb1	Slc2a9	Gzmb	Reln
Nos1ap	Clvs2	Slc16a10	Cecr2
Aifm3	Larp6	Gda	Ubr5
Itga4	Lrrc75a	Matn4	Atp9a
Pds5b	Psd3	Cap2	Tnfrsf13c
Aff1	Sorbs2	Nrsn2	Numbl
Marcks	Sh3bgrl3	Tbc1d2	Rhou
Ssbp2	Aifm3	Prkab2	Pabpc4
Taf13	Sema3a	Zfp804a	Bspry
Igsf1	Synm	Ndc1	Cyp2j6
Sema3c	Map3k5	E130119H09Rik	Vkorc1
Ncoa1	Lhx9	Dab2ip	Frat2
Pvrl3	Calb1	Tmem203	Tssk6
Rbm43	Ltk	Ltk	Prkab2
Etv6	Hace1	Cdkn2d	Klc4
Ppp1r14c	Fam102a	Flywch2	Avpr2
Sox11	Taf13	Rbx1	Ccpg1
Mex3b	Nt5dc3	Hsh2d	Vmn1r14
Chrdl1	Wdr44	E130012A19Rik	Tesk1
Lamp5	Vps13c	Fam45a	Nmral1
Tgfbr2	Ppp1r16b	Ntf3	2810025M15Rik
Kif21b	Amigo1	C1qa	Trpt1
Lrfn5	Flt3	Grp	Polr3h
Atf6b	Palmd	Alcam	Dph7
Adcy3	Igfbpl1	Nudcd1	Lamp5
Nhsl1	Bri3bp	Zfhx2	Bex2
Nudcd1	Ddit4	Negr1	Sdccag8
Slc26a4	Slc7a4	Gm10421	Hmbox1
Elfn2	Arhgap42	1810062O18Rik	Rnaseh2a
Zmiz1	Pcdh8	Synm	Sdhd
B3gat1	Vrk1	Chgb	Sdr42e1
Aspscr1	Elac1	Ppdpf	Lamtor4
Itpka	Rnf152	Rpsa	Psmg4
Fhod3	Ddr1	Clmn	Cacng5
Clvs2	Plekhh3	Ccdc3	Smc2os
Ypel5	Slc16a10	Npc2	Sprr3
Ephb6	E130012A19Rik	Tnfrsf25	Sirt3
Tpt1	Nhsl1	Mast1	Tnk2
Gm10421	Kcnip3	Tspan18	Cd93
Mllt11	Fhod3	Lrrc10b	Wdr91
Calb1	1500009L16Rik	St6galnac5	1700013G24Rik
Itga7	Panx1	Sept11	Fam63b
Iyd	Ptgfrn	Mkx	Lrrc61
Ccdc50	Arhgap29	Crym	Cisd1
Olfm2	Gpam	Prkar1b	Dnah11
Mylk3	Alad	Ssbp2	Birc3
Spock3	Csf1	Izumo2	Azin1
Tmem144	Cyth4	Lims2	R3hdm2
Penk	Nr3c1	Atf6b	Exosc4
Spag5	Fancl	Smim8	Itpr1
Grid1	Fam210b	Asic4	Cope
Fnbp1	Serpinf1	Cep76	Rnase2b
Galnt13	Calb2	Cyp2e1	Mlh1
Mcfd2	Nim1k	Thsd1	Gstp1
Plekhg4	Elfn2	Myh7b	B4galnt1
Lrrc6	Atp1b3	Heg1	Exosc7
Arhgap42	Rgs4	Lhfp	Anapc7
Col25a1	Trp53inp2	Bri3bp	Tgfb2
Fam102a	Mettl8	Fam160a1	Clns1a
Napa	Ppat	Ptpn21	Nap1l1
Mamdc2	Tspan33	Dnttip1	Tmed1
Acer3	Ube2e3	Nt5dc3	Rps5
Slc35f3	Heg1	Kcng2	Ctcf
Grhpr	Exosc2	Kcnip3	Mfap3l
Zbtb43	Socs2	Hace1	Tub
1700029I15Rik	Stxbp1	Ptbp3	Stx18
Tubb3	Sepw1	Sept8	Slc26a10
Cdk18	G0s2	Mylk3	Efr3a
Pole4	Sox11	Itga4	Osbpl7
Ppp1r16b	Nos1	Klf6	Tle1
Fosl2	Ccdc177	Lgals3	Map2k3os
Tub	Tpt1	Rimbp2	Abl1
Cap2	Cdkn2aipnl	2900011O08Rik	Mgat5
Capn3	Tgfbr2	D430019H16Rik	Mknk1
Triqk	Mllt6	Ung	B3galt5
Slc9a5	Creg1	Arhgef11	Gna13
Nckap1	AI504432	Ephb6	Smdt1
3110035E14Rik	Amer3	Gpnmb	Tmem229a
Nr3c1	Pithd1	Pbk	Rap1gds1
Ppdpf	Rassf5	Ier5	Abhd17a
Sstr4	Plrg1	Abca5	Sco2
Ermn	Pex5l	Trmt10a	Rnf122
Abcc8	Zbtb43	Slc30a10	Msl3l2
Cd200	Fam118a	Sparc	Sertad4
Akt3	Pmm1	Ap5s1	Rspo3
Pgm2l1	Lrrtm2	Cd200	Dnajc4
Pcdh9	Anp32b	Gadd45a	Wdr34
3110039M20Rik	Pcdh9	Ak4	Tmem212
Fkbp1a	Sh2d5	Fam210b	Ppic
Gadd45a	Kcnk10	Vat1	Mllt11
Rap1gap2	Sdr42e1	2510039O18Rik	Stk19
Matn4	Epb4.1l4b	Pfkp	Pagr1a
Ptpn21	Lxn	Rdh10	Thap11
Batf3	Clec16a	Scn1a	Git1
Lrrtm2	Anks1	Tnrc6c	Ttf1
Eml6	Adcyap1r1	Pcsk5	Nudt16l1
Alms1	Spns2	Pcdh10	Sumo3
Rfc1	Mtrr	Diap1	Uts2
Gsta4	Mta3	Ucp2	Nat14
Cd9	Mfsd12	Ncoa1	1700019N19Rik
Mettl8	Kcnj10	Atp6v1a	Banf1
Cnrip1	Sf3a2	Blnk	St3gal1
Tbc1d2	Il1rapl1	Slc12a5	Kdm2b
Rassf2	Rassf8	Cd24a	Gpat2
Exoc3l4	Spon1	Camk4	Fam206a
