XFTU	SFTU	SFRC	SFNC	SFRN
Csf2rb2	Mtap6	Rnf19b	Hecw2	
Rerg	Prdm8	Smo		Ghitm
Prkcb	Rab6b	Mst1r	Gpr153	Dhfr
Ext1	Whsc1	Hdac1	Rev3l	
Arhgap25	Gpx1	Cacng3	Inhba	Fads2
Cyfip1	Adamts9	Rab27a	Kcnt1	Wdr95
Ppp2r2c	Il1r1	Stmn3	Gkap1	Tox4
Cyhr1	Cdk2ap1		Nr2c2ap	Fam58b
Hrasls	Pdk2	Coch	5033430I15Rik	Prim2
Gli3	Prkar1b	Fam136a	Cyfip1	Palld
Rab27a	Etnk2	Arhgef26	Ehd3	Golim4
Sipa1l3	Hdc	Nudt3	2310061C15Rik	
Adrb3	Unc5a	Lactb	9630041G16Rik	Defa21
Fhl2	Pgam2	Dnajc21	Mrpl27	Spnb2
1700019N12Rik	Actn4	Iglon5	Plk3	Rbks
Dchs1	Sema3a	Wnt7b	Trpv2	4921530D09Rik
Comt	Dnmt3a	Ehd3	Cxxc5	Lcor
Cd34	Slc24a3	Allc	Cdc42bpa	Hao1
Etnk2	Kctd6	Clu	Ccbp2	Chd8
Slc35f2	Gkap1	Ubqln4	Prickle3	Trnt1
Naprt1	Cacng3	Sipa1l3	Fbxw7	Vmn1r71
Rps9	Prkcb	Cryaa	Cblb	Amica1
Gcnt2	Chst9	Ndel1	Sipa1l3	
2410016O06Rik	Lrrn1		Hdac1	Kbtbd3
Prickle3	Gm6816	Fhl2	Ptchd1	
Mycl1	Nrsn1	Lmtk2	Itga4	Phf14
Mageh1	Vgf	Rbpj	Tmem196	Larp4
St6galnac5	Klk8	Nr2c2ap	Ttc39b	Phactr4
Dpysl3	Ptgs1	Kcnt1	Cdc42se2	F13b
Cckbr	Mapk6	Spint1	B3gat2	Atrx
Arhgef26	Ipcef1	Tiam2	Slit3	Spink11
Sema5a	Frem3	Hr	Pdk2	Klrb1a
Dcaf12	Rarres1	Hecw2	Dnajc21	Zfp14
Pard3	Nhsl1	Acsl5	Grk5	Cyp21a1
Ints7	Ubqln4	Tnnt1	Pcp4	Dusp23
Chd7	Crhr2	Gpx1	Ripk4	Thap3
B3galt5	Rps6ka3	Rmnd1	Cnih2	2610002J02Rik
Cpne2	Slco2a1	Mcmbp	Egln3	Mettl1
	Pgm2	Caln1	Dpp4	Cib1
Ddx21	Csgalnact1	Slc39a6	Tbr1	
Gm13889	Galntl4	Adamts9	Rplp1	Tomm5
Arhgap10	Ttl	Eml2	Lats2	
Ip6k3	Fam149a	Ppp2r2c	Rnf19b	Exoc3l2
Ndufa3	BC046404	Smarca2	Bend6	Ntan1
Nrsn1	Bola2	Lpl	Ppl	1700029G01Rik
Tmem38a	Cpne2	Aldh1a3	Efhd2	Olfr1354
Pin1	Prlr	Pcp4	Chd9	3110040N11Rik
Phlpp2	Cdc42bpa	Sf3b5	Lrrn2	Ampd1
Gm5623	Papss2	Lck	Gabra2	Slc16a7
Eef1a1	Pygl	Unc5a	Glcci1	Serpina3a
Aldh1a7	Caln1	Hbegf	Rbpj	Slc29a3
Kcng1	Rplp1	Grhl1	Tcfap2b	Gm22
Nrsn2	Efhd2	Tcfap2b	Lck	Vps16
Spr	Chd9	Gm6816	Itgb3	4732414G09Rik
Mdga1	Ppap2b	Rpl11	Serpina3g	Gck
Prokr2	Rab27a	Kcnk3	Csrnp1	E2f2
1700040I03Rik	Slc22a1	Tle6	Nhsl1	Csnk1d
9230105E10Rik	Cryaa	Ankrd40	Tmem150c	Tubb2a
Kbtbd11	Ptchd1	Sorcs2	Papss2	Pigx
Kcnt1	Get4	Adcyap1	Mst1r	Kndc1
Crhr2	Slc39a6	Gabra2	St8sia5	Ugp2
Sgpp1	Plk3	Tbr1	Maml2	Klf15
Fbxw7	Thrb	Cyfip1	Lamb1	Eif3k
Prkaa2	Tmem14a	Chst8	Ermp1	Zfp830
Thbs4	Sipa1l3	Cwh43	Rmnd1	Apoc3
Cd81	Capns1	Phlda3	Mxra7	Fam187a
Pitpna	Nt5c3	Mtfp1	Plek	
Slco2a1	Cav3	Man1c1	Gcnt2	Atp7a
Sparc	D3Bwg0562e	Srp14	Slc24a3	Wdr11
Dnajc21	Gaa	Itgb3	Ccdc113	Tph2
Mapk12	Cyp11a1	Vti1b	Tacc1	Klhl38
Tmem14a	5730469M10Rik	Frem3	Pld2	Brca1
Pik3r5	St8sia4	Ptchd1	Rarres1	Eaf2
Mcm4	Nap1l1	Gm4838	Phlda3	1810010H24Rik
Adamts9	Ip6k3	Tmem35	Olfml2b	Hif3a
Gucy1a3	Mst1r	9630041G16Rik	Slc9a2	Chac1
2310061C15Rik	Rpl11	Syt6	Lyrm2	Med29
