XFTU	SFTU	SFRC	SFNC	SFRN
Ggct	Hspbp1	Mapk8ip1	B3gat2	
	Dapk2	Tyro3	Kcng2	
Tmem198	1700045I19Rik	Plrg1	H3f3a	
Dtl	Slc26a11	Phka1	Tlk1	
Aff4	Acap3	Lamb1	Wdfy4	
Ugcg	Mef2d	Arrb1	Cnih2	
Med28	Nt5e	Lmo7	Cdh2	
	2610039C10Rik	Bves	Pcdha12	
Rnf128	Tyro3	Rpl18a	Mrfap1	
Mapk14	Ptpn5	Lpgat1	Gpc3	
Moxd1	Nrsn2	Zbtb20	Flrt3	
Pin1	Osbp2	Hdlbp	Kcnh1	
Them4	Fap		Blnk	
Cib1	Tmem150c	Bsn	Fam36a	
Prkdc	Gm6816	Slc35f2	Hrasls	
Mkx	Pnck	Mia1	Eps8	
Adamts14	Map3k5	Vgf	Tm6sf1	
Klrg1	Commd7	Kcnh1	Prkra	
Kctd5	Acot6	Ipcef1	Klhl13	
Cyfip1	Myo1b	Nampt	Cap2	
Hist1h2ba	5033430I15Rik	Bai3	1190003J15Rik	
Cdh26	Ddx41	Zfp85-rs1	Lrrc4c	
Hebp1	Cdh2	Cwf19l2	Sytl4	
4930447C04Rik	E130309F12Rik	Slc7a14	Nt5e	
Gm5468	Snhg12	Otud1	Otud1	
Myo19	Lpgat1	Tceal6	Rab8b	
Rragb	Rab11fip4	Trim71	Crh	
Hnrnpab	Calca	Rps24-ps2	Zbtb20	
Hdac1	Rhebl1	Hbegf	Cyfip1	
Pnma3	Rftn1	D130043K22Rik	Gsto2	
Phkg1	Lmo7	Cry2	Chrm3	
Parp8	Pts	Gorab	Il16	
Ccdc88b	Rpn2	Rab11fip4	Josd1	
Actr6	Grhl1	Trp53bp2	Ivns1abp	
Tll1	Nampt	Vti1b	Cox6b2	
Nisch	Enox2		Pygl	
Tmem232	Cox6b2	Ckb	Lpgat1	
Accn1	Mapk8ip1	Fbxl7	Coro1a	
Plekho1	Shc3	Hspbp1	Slc39a6	
Igfbp4	Mia1	Lyzl4	Osbp2	
Il17ra	Tap2	Bcl11b		
Ppp1r3b	Galntl4	Pdia2	Cdh12	
B4galt4	Phgdh	Tm6sf1	Efna1	
Gabra1	Zfp945	Smc4	Mff	
Mc4r	Camta1	Adrb3	D16Ertd472e	
Akt3	D2hgdh	Pole	Prdm1	
Pex14	Zscan18	Asap1	4933439C10Rik	
Slc39a6	Trhr	Ngfr	Lrrk2	
Tgfbr3	Coro1a	Hmgn5	Slc4a11	
Aldh3a1	Cenpt	Cradd	Hsd17b10	
Tmcc2	Cenpp	Adc	Rps20	
Snx2	Itpr1	Snhg12	Rgs4	
Zap70	Rasgrf2	Fam136a	Psmc5	
	Rab8b	Dusp6	Aloxe3	
Sap18	Sln	Ogg1	Dnahc2	
Cdk2ap1	Ntm		Erlin2	
	Dlk2	Mafa	Tyro3	
	2310009B15Rik	Smg5	Stxbp1	
	Stxbp1	Vasn	Dohh	
Rftn1	Kcnj4	Tnfrsf12a	Btg1	
Lrrc4c	Syt6	Cwh43	Wnt7a	
Selm	P2rx4	Cnih2	Spnb3	
Git1	Gabrg3	Myh1	Ntrk2	
Zfp503	Atoh7	Sparc	Cacng5	
Pnck	Selm	Usf2	Syt4	
Trpv2	Nsa2		4930471M23Rik	
Ezh1	Wrap53	Gabrg3	Csnk1e	
Sln	Rnf144a	Tspan5	Ccdc64	
Zglp1	Rapgef6	Wrap53	Cradd	
Nmb	Whsc1	Rdx	Ing2	
Olfml2b	Fam98c	Uap1	Slc9a1	
Tlk1	Zfp618	Arntl2	Nmb	
Gstm7	Gm5918	Mras	Mapk6	
Radil	Slc30a3	H2-Ke6	Asap1	
Caly	Lrrc8b	Sytl4	Dpp3	
